gene_name,start,end,feature_type,strand,locus_tag,chromosome
caiE,34781,35376,CDS,-,b0035,NC_000913.3
caiD,35377,36162,CDS,-,b0036,NC_000913.3
5'caiD,36163,36230,5'UTR,-,b0036,NC_000913.3
3'caiC,36231,36270,3'UTR,-,b0037,NC_000913.3
caiC,36271,37824,CDS,-,b0037,NC_000913.3
5'caiC,37825,37861,5'UTR,-,b0037,NC_000913.3
3'caiB,37862,37897,3'UTR,-,b0038,NC_000913.3
caiB,37898,39115,CDS,-,b0038,NC_000913.3
5'caiB,39116,39203,5'UTR,-,b0038,NC_000913.3
3'caiA,39204,39243,3'UTR,-,b0039,NC_000913.3
caiA,39244,40416,CDS,-,b0039,NC_000913.3
caiT,40417,41931,CDS,-,b0040,NC_000913.3
5'caiT,41932,42166,5'UTR,-,b0040,NC_000913.3
5'fixA,42167,42402,5'UTR,+,b0041,NC_000913.3
fixA,42403,43187,CDS,+,b0041,NC_000913.3
fixB,43188,44129,CDS,+,b0042,NC_000913.3
3'fixB,44130,44154,3'UTR,+,b0042,NC_000913.3
5'fixC,44155,44179,5'UTR,+,b0043,NC_000913.3
fixC,44180,45466,CDS,+,b0043,NC_000913.3
fixX,45463,45750,CDS,+,b0044,NC_000913.3
3'fixX,45751,45778,3'UTR,+,b0044,NC_000913.3
5'yaaU,45779,45806,5'UTR,+,b0045,NC_000913.3
yaaU,45807,47138,CDS,+,b0045,NC_000913.3
3'yaaU,47139,47178,3'UTR,+,b0045,NC_000913.3
5'kefF,47179,47245,5'UTR,+,b0046,NC_000913.3
kefF,47246,47776,CDS,+,b0046,NC_000913.3
kefC,47769,49631,CDS,+,b0047,NC_000913.3
3'kefC,49632,49671,3'UTR,+,b0047,NC_000913.3
5'folA,49672,49822,5'UTR,+,b0048,NC_000913.3
folA,49823,50302,CDS,+,b0048,NC_000913.3
3'folA,50303,50340,3'UTR,+,b0048,NC_000913.3
3'apaH,50341,50379,3'UTR,-,b0049,NC_000913.3
apaH,50380,51222,CDS,-,b0049,NC_000913.3
apaG,51223,51608,CDS,-,b0050,NC_000913.3
rsmA,51609,52430,CDS,-,b0051,NC_000913.3
pdxA,52427,53416,CDS,-,b0052,NC_000913.3
surA,53416,54702,CDS,-,b0053,NC_000913.3
5'surA,54703,54728,5'UTR,-,b0053,NC_000913.3
3'lptD,54729,54754,3'UTR,-,b0054,NC_000913.3
lptD,54755,57109,CDS,-,b0054,NC_000913.3
5'lptD,57110,57236,5'UTR,-,b0054,NC_000913.3
5'djlA,57237,57363,5'UTR,+,b0055,NC_000913.3
djlA,57364,58179,CDS,+,b0055,NC_000913.3
3'djlA,58180,58219,3'UTR,+,b0055,NC_000913.3
5'yabP,58220,58473,5'UTR,+,b0056,NC_000913.3
yabP,58474,59124,CDS,+,b0056,NC_000913.3
yabQ,59121,59279,CDS,+,b0057,NC_000913.3
3'yabQ,59280,59482,3'UTR,+,b0057,NC_000913.3
3'rluA,59483,59686,3'UTR,-,b0058,NC_000913.3
rluA,59687,60357,CDS,-,b0058,NC_000913.3
rapA,60358,63264,CDS,-,b0059,NC_000913.3
5'rapA,63265,63388,5'UTR,-,b0059,NC_000913.3
3'polB,63389,63428,3'UTR,-,b0060,NC_000913.3
polB,63429,65780,CDS,-,b0060,NC_000913.3
5'polB,65781,65817,5'UTR,-,b0060,NC_000913.3
3'araD,65818,65854,3'UTR,-,b0061,NC_000913.3
araD,65855,66550,CDS,-,b0061,NC_000913.3
5'araD,66551,66794,5'UTR,-,b0061,NC_000913.3
3'araA,66795,66834,3'UTR,-,b0062,NC_000913.3
araA,66835,68347,CDS,-,b0062,NC_000913.3
araB,68348,70048,CDS,-,b0063,NC_000913.3
5'araB,70049,70217,5'UTR,-,b0063,NC_000913.3
5'araC,70218,70386,5'UTR,+,b0064,NC_000913.3
araC,70387,71265,CDS,+,b0064,NC_000913.3
3'araC,71266,71305,3'UTR,+,b0064,NC_000913.3
5'yabI,71306,71350,5'UTR,+,b0065,NC_000913.3
yabI,71351,72115,CDS,+,b0065,NC_000913.3
3'yabI,72116,72171,3'UTR,+,b0065,NC_000913.3
3'thiQ,72172,72228,3'UTR,-,b0066,NC_000913.3
thiQ,72229,72927,CDS,-,b0066,NC_000913.3
thiP,72911,74521,CDS,-,b0067,NC_000913.3
thiB,74497,75480,CDS,-,b0068,NC_000913.3
sroA,75481,75643,ncRNA,-,b4762,NC_000913.3
sgrR,75644,77299,CDS,-,b0069,NC_000913.3
5'sgrR,77300,77322,5'UTR,-,b0069,NC_000913.3
sgrS,77323,77613,ncRNA,+,b4577,NC_000913.3
sgrT,77388,77519,CDS,+,b4662,NC_000913.3
3'sgrT,77520,77559,3'UTR,+,b4662,NC_000913.3
5'setA,77560,77620,5'UTR,+,b0070,NC_000913.3
setA,77621,78799,CDS,+,b0070,NC_000913.3
3'setA,78800,78823,3'UTR,+,b0070,NC_000913.3
3'leuD,78824,78847,3'UTR,-,b0071,NC_000913.3
leuD,78848,79463,CDS,-,b0071,NC_000913.3
leuC,79464,80864,CDS,-,b0072,NC_000913.3
leuB,80865,81958,CDS,-,b0073,NC_000913.3
leuA,81958,83529,CDS,-,b0074,NC_000913.3
5'leuA,83530,83581,5'UTR,-,b0074,NC_000913.3
3'leuL,83582,83621,3'UTR,-,b0075,NC_000913.3
leuL,83622,83708,CDS,-,b0075,NC_000913.3
5'leuL,83709,84037,5'UTR,-,b0075,NC_000913.3
5'leuO,84038,84367,5'UTR,+,b0076,NC_000913.3
leuO,84368,85312,CDS,+,b0076,NC_000913.3
3'leuO,85313,85389,3'UTR,+,b0076,NC_000913.3
3'yabR,85390,85466,3'UTR,-,b4726,NC_000913.3
yabR,85467,85511,CDS,-,b4726,NC_000913.3
5'yabR,85512,85570,5'UTR,-,b4726,NC_000913.3
5'ilvI,85571,85629,5'UTR,+,b0077,NC_000913.3
ilvI,85630,87354,CDS,+,b0077,NC_000913.3
ilvH,87355,87848,CDS,+,b0078,NC_000913.3
3'ilvH,87849,87888,3'UTR,+,b0078,NC_000913.3
5'cra,87889,88027,5'UTR,+,b0080,NC_000913.3
cra,88028,89032,CDS,+,b0080,NC_000913.3
3'cra,89033,89072,3'UTR,+,b0080,NC_000913.3
5'mraZ,89073,89633,5'UTR,+,b0081,NC_000913.3
mraZ,89634,90093,CDS,+,b0081,NC_000913.3
rsmH,90094,91035,CDS,+,b0082,NC_000913.3
ftsL,91032,91412,CDS,+,b0083,NC_000913.3
ftsI,91413,93179,CDS,+,b0084,NC_000913.3
ftsO,92465,92718,sponge,+,b4810,NC_000913.3
5'murE,92719,93165,5'UTR,+,b0085,NC_000913.3
murE,93166,94653,CDS,+,b0085,NC_000913.3
murF,94650,96008,CDS,+,b0086,NC_000913.3
mraY,96002,97086,CDS,+,b0087,NC_000913.3
murD,97087,98403,CDS,+,b0088,NC_000913.3
ftsW,98403,99647,CDS,+,b0089,NC_000913.3
murG,99644,100711,CDS,+,b0090,NC_000913.3
3'murG,100712,100737,3'UTR,+,b0090,NC_000913.3
5'murC,100738,100764,5'UTR,+,b0091,NC_000913.3
murC,100765,102240,CDS,+,b0091,NC_000913.3
ddlB,102233,103153,CDS,+,b0092,NC_000913.3
ftsQ,103154,103985,CDS,+,b0093,NC_000913.3
ftsA,103982,105244,CDS,+,b0094,NC_000913.3
3'ftsA,105245,105274,3'UTR,+,b0094,NC_000913.3
5'ftsZ,105275,105304,5'UTR,+,b0095,NC_000913.3
ftsZ,105305,106456,CDS,+,b0095,NC_000913.3
3'ftsZ,106457,106496,3'UTR,+,b0095,NC_000913.3
5'lpxC,106497,106556,5'UTR,+,b0096,NC_000913.3
lpxC,106557,107474,CDS,+,b0096,NC_000913.3
3'lpxC,107475,107514,3'UTR,+,b0096,NC_000913.3
5'secM,107515,107704,5'UTR,+,b0097,NC_000913.3
secM,107705,108217,CDS,+,b0097,NC_000913.3
3'secM,108218,108247,3'UTR,+,b0097,NC_000913.3
5'secA,108248,108278,5'UTR,+,b0098,NC_000913.3
secA,108279,110984,CDS,+,b0098,NC_000913.3
3'secA,110985,111013,3'UTR,+,b0098,NC_000913.3
5'mutT,111014,111043,5'UTR,+,b0099,NC_000913.3
mutT,111044,111433,CDS,+,b0099,NC_000913.3
3'mutT,111434,111540,3'UTR,+,b0099,NC_000913.3
3'yacG,111541,111648,3'UTR,-,b0101,NC_000913.3
yacG,111649,111855,CDS,-,b0101,NC_000913.3
zapD,111856,112599,CDS,-,b0102,NC_000913.3
coaE,112599,113219,CDS,-,b0103,NC_000913.3
yacM,113220,113288,CDS,+,b4727,NC_000913.3
3'yacM,113289,113328,3'UTR,+,b4727,NC_000913.3
5'guaC,113329,113443,5'UTR,+,b0104,NC_000913.3
guaC,113444,114521,CDS,+,b0104,NC_000913.3
hofC,114522,115724,CDS,-,b0106,NC_000913.3
hofB,115714,117099,CDS,-,b0107,NC_000913.3
ppdD,117100,117549,CDS,-,b0108,NC_000913.3
5'ppdD,117550,117711,5'UTR,-,b0108,NC_000913.3
3'nadC,117712,117751,3'UTR,-,b0109,NC_000913.3
nadC,117752,118645,CDS,-,b0109,NC_000913.3
5'nadC,118646,118688,5'UTR,-,b0109,NC_000913.3
5'ampD,118689,118732,5'UTR,+,b0110,NC_000913.3
ampD,118733,119284,CDS,+,b0110,NC_000913.3
ampE,119281,120135,CDS,+,b0111,NC_000913.3
3'ampE,120136,120156,3'UTR,+,b0111,NC_000913.3
3'aroP,120157,120177,3'UTR,-,b0112,NC_000913.3
aroP,120178,121551,CDS,-,b0112,NC_000913.3
5'aroP,121552,121821,5'UTR,-,b0112,NC_000913.3
5'pdhR,121822,122091,5'UTR,+,b0113,NC_000913.3
pdhR,122092,122856,CDS,+,b0113,NC_000913.3
3'pdhR,122857,122896,3'UTR,+,b0113,NC_000913.3
5'aceE,122897,123016,5'UTR,+,b0114,NC_000913.3
aceE,123017,125680,CDS,+,b0114,NC_000913.3
aceF,125681,127587,CDS,+,b0115,NC_000913.3
3'aceF,127588,127627,3'UTR,+,b0115,NC_000913.3
5'lpd,127628,127911,5'UTR,+,b0116,NC_000913.3
lpd,127912,129336,CDS,+,b0116,NC_000913.3
3'lpd,129337,129371,3'UTR,+,b0116,NC_000913.3
3'yacH,129372,129406,3'UTR,-,b0117,NC_000913.3
yacH,129407,131260,CDS,-,b0117,NC_000913.3
5'yacH,131261,131437,5'UTR,-,b0117,NC_000913.3
5'acnB,131438,131614,5'UTR,+,b0118,NC_000913.3
acnB,131615,134212,CDS,+,b0118,NC_000913.3
3'acnB,134213,134252,3'UTR,+,b0118,NC_000913.3
5'yacL,134253,134387,5'UTR,+,b0119,NC_000913.3
yacL,134388,134787,CDS,+,b0119,NC_000913.3
speD,134788,135597,CDS,-,b0120,NC_000913.3
speE,135598,136464,CDS,-,b0121,NC_000913.3
5'speE,136465,136529,5'UTR,-,b0121,NC_000913.3
3'yacC,136530,136569,3'UTR,-,b0122,NC_000913.3
yacC,136570,136917,CDS,-,b0122,NC_000913.3
5'yacC,136918,136999,5'UTR,-,b0122,NC_000913.3
5'cueO,137000,137082,5'UTR,+,b0123,NC_000913.3
cueO,137083,138633,CDS,+,b0123,NC_000913.3
3'cueO,138634,138733,3'UTR,+,b0123,NC_000913.3
3'gcd,138734,138834,3'UTR,-,b0124,NC_000913.3
gcd,138835,141225,CDS,-,b0124,NC_000913.3
5'gcd,141226,141327,5'UTR,-,b0124,NC_000913.3
5'hpt,141328,141430,5'UTR,+,b0125,NC_000913.3
hpt,141431,141967,CDS,+,b0125,NC_000913.3
3'hpt,141968,141987,3'UTR,+,b0125,NC_000913.3
3'can,141988,142007,3'UTR,-,b0126,NC_000913.3
can,142008,142670,CDS,-,b0126,NC_000913.3
5'can,142671,142724,5'UTR,-,b0126,NC_000913.3
5'yadG,142725,142778,5'UTR,+,b0127,NC_000913.3
yadG,142779,143705,CDS,+,b0127,NC_000913.3
yadH,143702,144472,CDS,+,b0128,NC_000913.3
3'yadH,144473,144512,3'UTR,+,b0128,NC_000913.3
5'yadI,144513,144576,5'UTR,+,b0129,NC_000913.3
yadI,144577,145017,CDS,+,b0129,NC_000913.3
3'yadI,145018,145048,3'UTR,+,b0129,NC_000913.3
5'yadE,145049,145080,5'UTR,+,b0130,NC_000913.3
yadE,145081,146310,CDS,+,b0130,NC_000913.3
panD,146311,146694,CDS,-,b0131,NC_000913.3
5'panD,146695,146830,5'UTR,-,b0131,NC_000913.3
5'rpnC,146831,146967,5'UTR,+,b0132,NC_000913.3
rpnC,146968,147870,CDS,+,b0132,NC_000913.3
3'rpnC,147871,147906,3'UTR,+,b0132,NC_000913.3
3'panC,147907,147943,3'UTR,-,b0133,NC_000913.3
panC,147944,148795,CDS,-,b0133,NC_000913.3
panB,148796,149601,CDS,-,b0134,NC_000913.3
5'panB,149602,149674,5'UTR,-,b0134,NC_000913.3
3'yadC,149675,149714,3'UTR,-,b0135,NC_000913.3
yadC,149715,150953,CDS,-,b0135,NC_000913.3
5'yadC,150954,150978,5'UTR,-,b0135,NC_000913.3
3'yadK,150979,151002,3'UTR,-,b0136,NC_000913.3
yadK,151003,151625,CDS,-,b0136,NC_000913.3
yadL,151626,152231,CDS,-,b0137,NC_000913.3
yadM,152232,152828,CDS,-,b0138,NC_000913.3
htrE,152829,155426,CDS,-,b0139,NC_000913.3
yadV,155427,156201,CDS,-,b0140,NC_000913.3
5'yadV,156202,156258,5'UTR,-,b0140,NC_000913.3
3'yadN,156259,156298,3'UTR,-,b0141,NC_000913.3
yadN,156299,156883,CDS,-,b0141,NC_000913.3
5'yadN,156884,157212,5'UTR,-,b0141,NC_000913.3
3'folK,157213,157252,3'UTR,-,b0142,NC_000913.3
folK,157253,157732,CDS,-,b0142,NC_000913.3
pcnB,157729,159126,CDS,-,b0143,NC_000913.3
5'pcnB,159127,159156,5'UTR,-,b0143,NC_000913.3
3'gluQ,159157,159185,3'UTR,-,b0144,NC_000913.3
gluQ,159186,160112,CDS,-,b0144,NC_000913.3
dksA,160113,160604,CDS,-,b0145,NC_000913.3
5'dksA,160605,160741,5'UTR,-,b0145,NC_000913.3
3'sfsA,160742,160781,3'UTR,-,b0146,NC_000913.3
sfsA,160782,161486,CDS,-,b0146,NC_000913.3
thpR,161487,162031,CDS,-,b0147,NC_000913.3
5'thpR,162032,162067,5'UTR,-,b0147,NC_000913.3
5'hrpB,162068,162104,5'UTR,+,b0148,NC_000913.3
hrpB,162105,164534,CDS,+,b0148,NC_000913.3
3'hrpB,164535,164574,3'UTR,+,b0148,NC_000913.3
5'mrcB,164575,164729,5'UTR,+,b0149,NC_000913.3
mrcB,164730,167264,CDS,+,b0149,NC_000913.3
mrcB,164865,167264,CDS,+,b0149,NC_000913.3
3'mrcB,167265,167304,3'UTR,+,b0149,NC_000913.3
5'fhuA,167305,167483,5'UTR,+,b0150,NC_000913.3
fhuA,167484,169727,CDS,+,b0150,NC_000913.3
3'fhuA,169728,169752,3'UTR,+,b0150,NC_000913.3
5'fhuC,169753,169777,5'UTR,+,b0151,NC_000913.3
fhuC,169778,170575,CDS,+,b0151,NC_000913.3
fhuD,170575,171465,CDS,+,b0152,NC_000913.3
fhuB,171462,173444,CDS,+,b0153,NC_000913.3
3'fhuB,173445,173522,3'UTR,+,b0153,NC_000913.3
3'hemL,173523,173601,3'UTR,-,b0154,NC_000913.3
hemL,173602,174882,CDS,-,b0154,NC_000913.3
5'hemL,174883,174964,5'UTR,-,b0154,NC_000913.3
5'yadX,174965,175047,5'UTR,+,b4765,NC_000913.3
yadX,175048,175106,CDS,+,b4765,NC_000913.3
clcA,175107,176528,CDS,+,b0155,NC_000913.3
yadW,176529,176617,CDS,+,b4728,NC_000913.3
erpA,176610,176954,CDS,+,b0156,NC_000913.3
3'erpA,176955,176977,3'UTR,+,b0156,NC_000913.3
3'yadS,176978,177000,3'UTR,-,b0157,NC_000913.3
yadS,177001,177661,CDS,-,b0157,NC_000913.3
btuF,177662,178462,CDS,-,b0158,NC_000913.3
mtn,178455,179153,CDS,-,b0159,NC_000913.3
5'mtn,179154,179194,5'UTR,-,b0159,NC_000913.3
5'dgt,179195,179236,5'UTR,+,b0160,NC_000913.3
dgt,179237,180754,CDS,+,b0160,NC_000913.3
3'dgt,180755,180794,3'UTR,+,b0160,NC_000913.3
5'degP,180795,180883,5'UTR,+,b0161,NC_000913.3
degP,180884,182308,CDS,+,b0161,NC_000913.3
3'degP,182309,182348,3'UTR,+,b0161,NC_000913.3
5'cdaR,182349,182462,5'UTR,+,b0162,NC_000913.3
cdaR,182463,183620,CDS,+,b0162,NC_000913.3
3'cdaR,183621,183664,3'UTR,+,b0162,NC_000913.3
3'yaeH,183665,183708,3'UTR,-,b0163,NC_000913.3
yaeH,183709,184095,CDS,-,b0163,NC_000913.3
5'yaeH,184096,184216,5'UTR,-,b0163,NC_000913.3
3'yaeI,184217,184256,3'UTR,-,b0164,NC_000913.3
yaeI,184257,185069,CDS,-,b0164,NC_000913.3
5'yaeI,185070,185096,5'UTR,-,b0164,NC_000913.3
3'dapD,185097,185122,3'UTR,-,b0166,NC_000913.3
dapD,185123,185977,CDS,-,b0166,NC_000913.3
glnD,185978,188650,CDS,-,b0167,NC_000913.3
5'glnD,188651,188681,5'UTR,-,b0167,NC_000913.3
3'map,188682,188711,3'UTR,-,b0168,NC_000913.3
map,188712,189506,CDS,-,b0168,NC_000913.3
5'map,189507,189598,5'UTR,-,b0168,NC_000913.3
tff,189599,189873,ncRNA,+,b4414,NC_000913.3
rpsB,189874,190599,CDS,+,b0169,NC_000913.3
3'rpsB,190600,190639,3'UTR,+,b0169,NC_000913.3
5'tsf,190640,190856,5'UTR,+,b0170,NC_000913.3
tsf,190857,191708,CDS,+,b0170,NC_000913.3
3'tsf,191709,191748,3'UTR,+,b0170,NC_000913.3
5'pyrH,191749,191854,5'UTR,+,b0171,NC_000913.3
pyrH,191855,192580,CDS,+,b0171,NC_000913.3
3'pyrH,192581,192620,3'UTR,+,b0171,NC_000913.3
5'frr,192621,192871,5'UTR,+,b0172,NC_000913.3
frr,192872,193429,CDS,+,b0172,NC_000913.3
3'frr,193430,193469,3'UTR,+,b0172,NC_000913.3
5'dxr,193470,193520,5'UTR,+,b0173,NC_000913.3
dxr,193521,194717,CDS,+,b0173,NC_000913.3
3'dxr,194718,194740,3'UTR,+,b0173,NC_000913.3
ispZ,194741,194902,sponge,+,b4809,NC_000913.3
ispU,194903,195676,CDS,+,b0174,NC_000913.3
cdsA,195677,196545,CDS,+,b0175,NC_000913.3
rseP,196546,197927,CDS,+,b0176,NC_000913.3
bamA,197928,200360,CDS,+,b0177,NC_000913.3
3'bamA,200361,200400,3'UTR,+,b0177,NC_000913.3
5'skp,200401,200481,5'UTR,+,b0178,NC_000913.3
skp,200482,200970,CDS,+,b0178,NC_000913.3
lpxD,200971,201996,CDS,+,b0179,NC_000913.3
3'lpxD,201997,202036,3'UTR,+,b0179,NC_000913.3
5'fabZ,202037,202100,5'UTR,+,b0180,NC_000913.3
fabZ,202101,202559,CDS,+,b0180,NC_000913.3
lpxA,202560,203348,CDS,+,b0181,NC_000913.3
lpxB,203348,204496,CDS,+,b0182,NC_000913.3
rnhB,204493,205125,CDS,+,b0183,NC_000913.3
dnaE,205126,208608,CDS,+,b0184,NC_000913.3
accA,208609,209580,CDS,+,b0185,NC_000913.3
3'accA,209581,209620,3'UTR,+,b0185,NC_000913.3
5'ldcC,209621,209678,5'UTR,+,b0186,NC_000913.3
ldcC,209679,211820,CDS,+,b0186,NC_000913.3
3'ldcC,211821,211848,3'UTR,+,b0186,NC_000913.3
5'yaeR,211849,211876,5'UTR,+,b0187,NC_000913.3
yaeR,211877,212266,CDS,+,b0187,NC_000913.3
3'yaeR,212267,212298,3'UTR,+,b0187,NC_000913.3
5'tilS,212299,212330,5'UTR,+,b0188,NC_000913.3
tilS,212331,213629,CDS,+,b0188,NC_000913.3
3'tilS,213630,213653,3'UTR,+,b0188,NC_000913.3
3'rof,213654,213677,3'UTR,-,b0189,NC_000913.3
rof,213678,213932,CDS,-,b0189,NC_000913.3
yaeP,213925,214125,CDS,-,b4406,NC_000913.3
5'yaeP,214126,214207,5'UTR,-,b4406,NC_000913.3
5'yaeQ,214208,214290,5'UTR,+,b0190,NC_000913.3
yaeQ,214291,214836,CDS,+,b0190,NC_000913.3
arfB,214833,215268,CDS,+,b0191,NC_000913.3
nlpE,215269,215979,CDS,+,b0192,NC_000913.3
3'nlpE,215980,216078,3'UTR,+,b0192,NC_000913.3
3'yaeF,216079,216178,3'UTR,-,b0193,NC_000913.3
yaeF,216179,217003,CDS,-,b0193,NC_000913.3
5'yaeF,217004,217030,5'UTR,-,b0193,NC_000913.3
3'proS,217031,217056,3'UTR,-,b0194,NC_000913.3
proS,217057,218775,CDS,-,b0194,NC_000913.3
5'proS,218776,218846,5'UTR,-,b0194,NC_000913.3
3'trmO,218847,218886,3'UTR,-,b0195,NC_000913.3
trmO,218887,219594,CDS,-,b0195,NC_000913.3
rcsF,219591,219995,CDS,-,b0196,NC_000913.3
5'rcsF,219996,220072,5'UTR,-,b0196,NC_000913.3
3'metQ,220073,220112,3'UTR,-,b0197,NC_000913.3
metQ,220113,220928,CDS,-,b0197,NC_000913.3
metI,220929,221621,CDS,-,b0198,NC_000913.3
metN,221614,222645,CDS,-,b0199,NC_000913.3
5'metN,222646,222738,5'UTR,-,b0199,NC_000913.3
5'gmhB,222739,222832,5'UTR,+,b0200,NC_000913.3
gmhB,222833,223408,CDS,+,b0200,NC_000913.3
3'gmhB,223409,223448,3'UTR,+,b0200,NC_000913.3
5'rrsH,223449,223770,hkRNA,+,b0201,NC_000913.3
rrsH,223771,225312,hkRNA,+,b0201,NC_000913.3
3'rrsH,225313,225341,hkRNA,+,b0201,NC_000913.3
5'ileV,225342,225370,tRNA,+,b0202,NC_000913.3
ileV,225371,225467,tRNA,+,b0202,NC_000913.3
alaV,225468,225585,tRNA,+,b0203,NC_000913.3
3'alaV,225586,225625,tRNA,+,b0203,NC_000913.3
5'rrlH,225626,225758,hkRNA,+,b0204,NC_000913.3
rrlH,225759,228662,hkRNA,+,b0204,NC_000913.3
3'rrlH,228663,228702,hkRNA,+,b0204,NC_000913.3
5'rrfH,228703,228755,hkRNA,+,b0205,NC_000913.3
rrfH,228756,228875,hkRNA,+,b0205,NC_000913.3
3'rrfH,228876,228896,hkRNA,+,b0205,NC_000913.3
5'aspU,228897,228917,tRNA,+,b0206,NC_000913.3
aspU,228918,229014,tRNA,+,b0206,NC_000913.3
3'aspU,229015,229054,tRNA,+,b0206,NC_000913.3
5'dkgB,229055,229166,5'UTR,+,b0207,NC_000913.3
dkgB,229167,229970,CDS,+,b0207,NC_000913.3
