gene_name,start,end,feature_type,strand,locus_tag,chromosome
5'guaB,15855,15914,5'UTR,+,BSU_00090,NC_000964.3
guaB,15915,17381,CDS,+,BSU_00090,NC_000964.3
3'guaB,17382,17421,3'UTR,+,BSU_00090,NC_000964.3
5'dacA,17422,17533,5'UTR,+,BSU_00100,NC_000964.3
dacA,17534,18865,CDS,+,BSU_00100,NC_000964.3
3'dacA,18866,18905,3'UTR,+,BSU_00100,NC_000964.3
5'pdxS,18906,19061,5'UTR,+,BSU_00110,NC_000964.3
pdxS,19062,19946,CDS,+,BSU_00110,NC_000964.3
pdxT,19947,20558,CDS,+,BSU_00120,NC_000964.3
3'pdxT,20559,20579,3'UTR,+,BSU_00120,NC_000964.3
5'tboS,20580,20600,5'UTR,+,BSU_misc_RNA_1,NC_000964.3
tboS,20601,20833,ncRNA,+,BSU_misc_RNA_1,NC_000964.3
3'tboS,20834,20856,3'UTR,+,BSU_misc_RNA_1,NC_000964.3
5'serS,20857,20879,5'UTR,+,BSU_00130,NC_000964.3
serS,20880,22157,CDS,+,BSU_00130,NC_000964.3
3'serS,22158,22197,3'UTR,+,BSU_00130,NC_000964.3
5'trnSL-Ser1,22198,22281,tRNA,+,BSU_tRNA_7,NC_000964.3
trnSL-Ser1,22282,22394,tRNA,+,BSU_tRNA_7,NC_000964.3
3'trnSL-Ser1,22395,22444,tRNA,+,BSU_tRNA_7,NC_000964.3
3'dck,22445,22495,3'UTR,-,BSU_00140,NC_000964.3
dck,22496,23149,CDS,-,BSU_00140,NC_000964.3
dgk,23146,23769,CDS,-,BSU_00150,NC_000964.3
5'dgk,23770,23827,5'UTR,-,BSU_00150,NC_000964.3
3'sleL,23828,23867,3'UTR,-,BSU_00160,NC_000964.3
sleL,23868,25151,CDS,-,BSU_00160,NC_000964.3
5'sleL,25152,25186,5'UTR,-,BSU_00160,NC_000964.3
3'yaaI,25187,25220,3'UTR,-,BSU_00170,NC_000964.3
yaaI,25221,25766,CDS,-,BSU_00170,NC_000964.3
5'yaaI,25767,25808,5'UTR,-,BSU_00170,NC_000964.3
5'tadA,25809,25851,5'UTR,+,BSU_00180,NC_000964.3
tadA,25852,26337,CDS,+,BSU_00180,NC_000964.3
scr,26338,26742,ncRNA,+,BSU_misc_RNA_2,NC_000964.3
3'scr,26743,26777,3'UTR,+,BSU_misc_RNA_2,NC_000964.3
5'dnaX,26778,26813,5'UTR,+,BSU_00190,NC_000964.3
dnaX,26814,28505,CDS,+,BSU_00190,NC_000964.3
ebfC,28506,28866,CDS,+,BSU_00200,NC_000964.3
recR,28867,29463,CDS,+,BSU_00210,NC_000964.3
yaaL,29464,29705,CDS,+,BSU_00220,NC_000964.3
3'yaaL,29706,29738,3'UTR,+,BSU_00220,NC_000964.3
5'bofA,29739,29771,5'UTR,+,BSU_00230,NC_000964.3
bofA,29772,30035,CDS,+,BSU_00230,NC_000964.3
3'bofA,30036,30075,3'UTR,+,BSU_00230,NC_000964.3
5'rrnA-16S,30076,30278,5'UTR,+,BSU_rRNA_4,NC_000964.3
rrnA-16S,30279,31832,rRNA,+,BSU_rRNA_4,NC_000964.3
3'rrnA-16S,31833,31872,3'UTR,+,BSU_rRNA_4,NC_000964.3
5'trnA-Ile,31873,31921,tRNA,+,BSU_tRNA_8,NC_000964.3
trnA-Ile,31922,32018,tRNA,+,BSU_tRNA_8,NC_000964.3
trnA-Ala,32010,32105,tRNA,+,BSU_tRNA_9,NC_000964.3
3'trnA-Ala,32106,32140,tRNA,+,BSU_tRNA_9,NC_000964.3
5'rrnA-23S,32141,32176,5'UTR,+,BSU_rRNA_5,NC_000964.3
rrnA-23S,32177,35103,rRNA,+,BSU_rRNA_5,NC_000964.3
3'rrnA-23S,35104,35143,3'UTR,+,BSU_rRNA_5,NC_000964.3
5'rrnA-5S,35144,35236,5'UTR,+,BSU_rRNA_26,NC_000964.3
rrnA-5S,35237,35355,rRNA,+,BSU_rRNA_26,NC_000964.3
3'rrnA-5S,35356,35395,3'UTR,+,BSU_rRNA_26,NC_000964.3
5'csfB,35396,35530,5'UTR,+,BSU_00240,NC_000964.3
csfB,35531,35725,CDS,+,BSU_00240,NC_000964.3
3'csfB,35726,35765,3'UTR,+,BSU_00240,NC_000964.3
5'xpaC,35766,35844,5'UTR,+,BSU_00250,NC_000964.3
xpaC,35845,36477,CDS,+,BSU_00250,NC_000964.3
yaaN,36478,37638,CDS,+,BSU_00260,NC_000964.3
3'yaaN,37639,37678,3'UTR,+,BSU_00260,NC_000964.3
5'yaaO,37679,37719,5'UTR,+,BSU_00270,NC_000964.3
yaaO,37720,39162,CDS,+,BSU_00270,NC_000964.3
tmk,39159,39797,CDS,+,BSU_00280,NC_000964.3
3'tmk,39798,39833,3'UTR,+,BSU_00280,NC_000964.3
5'darA,39834,39870,5'UTR,+,BSU_00290,NC_000964.3
darA,39871,40212,CDS,+,BSU_00290,NC_000964.3
yaaR,40213,40664,CDS,+,BSU_00300,NC_000964.3
holB,40665,41654,CDS,+,BSU_00310,NC_000964.3
ricT,41655,42484,CDS,+,BSU_00320,NC_000964.3
dnaH,42485,42858,CDS,+,BSU_00330,NC_000964.3
3'dnaH,42859,42887,3'UTR,+,BSU_00330,NC_000964.3
5'trmNF,42888,42916,5'UTR,+,BSU_00340,NC_000964.3
trmNF,42917,43660,CDS,+,BSU_00340,NC_000964.3
yazA,43647,43946,CDS,+,BSU_00350,NC_000964.3
rsmI,43921,44799,CDS,+,BSU_00360,NC_000964.3
3'rsmI,44800,44823,3'UTR,+,BSU_00360,NC_000964.3
3'abrB,44824,44847,3'UTR,-,BSU_00370,NC_000964.3
abrB,44848,45138,CDS,-,BSU_00370,NC_000964.3
5'abrB,45139,45385,5'UTR,-,BSU_00370,NC_000964.3
5'metS,45386,45632,5'UTR,+,BSU_00380,NC_000964.3
metS,45633,47627,CDS,+,BSU_00380,NC_000964.3
3'metS,47628,47666,3'UTR,+,BSU_00380,NC_000964.3
5'dayD,47667,47705,5'UTR,+,BSU_00390,NC_000964.3
dayD,47706,48473,CDS,+,BSU_00390,NC_000964.3
3'dayD,48474,48513,3'UTR,+,BSU_00390,NC_000964.3
5'yabE,48514,48628,5'UTR,+,BSU_00400,NC_000964.3
yabE,48629,49942,CDS,+,BSU_00400,NC_000964.3
3'yabE,49943,49982,3'UTR,+,BSU_00400,NC_000964.3
5'rnmV,49983,50086,5'UTR,+,BSU_00410,NC_000964.3
rnmV,50087,50647,CDS,+,BSU_00410,NC_000964.3
rsmA,50640,51518,CDS,+,BSU_00420,NC_000964.3
3'rsmA,51519,51558,3'UTR,+,BSU_00420,NC_000964.3
5'prtG,51559,51679,5'UTR,+,BSU_00430,NC_000964.3
prtG,51680,52552,CDS,+,BSU_00430,NC_000964.3
3'prtG,52553,52592,3'UTR,+,BSU_00430,NC_000964.3
5'veg,52593,52762,5'UTR,+,BSU_00440,NC_000964.3
veg,52763,53023,CDS,+,BSU_00440,NC_000964.3
3'veg,53024,53063,3'UTR,+,BSU_00440,NC_000964.3
5'sspF,53064,53182,5'UTR,+,BSU_00450,NC_000964.3
sspF,53183,53368,CDS,+,BSU_00450,NC_000964.3
3'sspF,53369,53408,3'UTR,+,BSU_00450,NC_000964.3
5'ispE,53409,53515,5'UTR,+,BSU_00460,NC_000964.3
ispE,53516,54385,CDS,+,BSU_00460,NC_000964.3
3'ispE,54386,54412,3'UTR,+,BSU_00460,NC_000964.3
5'purR,54413,54440,5'UTR,+,BSU_00470,NC_000964.3
purR,54441,55298,CDS,+,BSU_00470,NC_000964.3
ridA,55295,55672,CDS,+,BSU_00480,NC_000964.3
3'ridA,55673,55712,3'UTR,+,BSU_00480,NC_000964.3
5'spoVG,55713,55865,5'UTR,+,BSU_00490,NC_000964.3
spoVG,55866,56159,CDS,+,BSU_00490,NC_000964.3
3'spoVG,56160,56199,3'UTR,+,BSU_00490,NC_000964.3
5'glmU,56200,56351,5'UTR,+,BSU_00500,NC_000964.3
glmU,56352,57722,CDS,+,BSU_00500,NC_000964.3
prs,57723,58698,CDS,+,BSU_00510,NC_000964.3
3'prs,58699,58738,3'UTR,+,BSU_00510,NC_000964.3
5'ctc,58739,58782,5'UTR,+,BSU_00520,NC_000964.3
ctc,58783,59397,CDS,+,BSU_00520,NC_000964.3
3'ctc,59398,59437,3'UTR,+,BSU_00520,NC_000964.3
5'pth,59438,59503,5'UTR,+,BSU_00530,NC_000964.3
pth,59504,60070,CDS,+,BSU_00530,NC_000964.3
3'pth,60071,60099,3'UTR,+,BSU_00530,NC_000964.3
5'fin,60100,60129,5'UTR,+,BSU_00540,NC_000964.3
fin,60130,60360,CDS,+,BSU_00540,NC_000964.3
3'fin,60361,60394,3'UTR,+,BSU_00540,NC_000964.3
5'mfd,60395,60429,5'UTR,+,BSU_00550,NC_000964.3
mfd,60430,63963,CDS,+,BSU_00550,NC_000964.3
3'mfd,63964,64003,3'UTR,+,BSU_00550,NC_000964.3
5'spoVT,64004,64098,5'UTR,+,BSU_00560,NC_000964.3
spoVT,64099,64635,CDS,+,BSU_00560,NC_000964.3
3'spoVT,64636,64675,3'UTR,+,BSU_00560,NC_000964.3
5'yabM,64676,64816,5'UTR,+,BSU_00570,NC_000964.3
yabM,64817,66415,CDS,+,BSU_00570,NC_000964.3
yabN,66405,67874,CDS,+,BSU_00580,NC_000964.3
hslR,67875,68137,CDS,+,BSU_00590,NC_000964.3
3'hslR,68138,68176,3'UTR,+,BSU_00590,NC_000964.3
5'spcP,68177,68215,5'UTR,+,BSU_00600,NC_000964.3
spcP,68216,68518,CDS,+,BSU_00600,NC_000964.3
spcQ,68515,69150,CDS,+,BSU_00610,NC_000964.3
divIC,69151,69545,CDS,+,BSU_00620,NC_000964.3
3'divIC,69546,69585,3'UTR,+,BSU_00620,NC_000964.3
5'yabR,69586,69625,5'UTR,+,BSU_00630,NC_000964.3
yabR,69626,70012,CDS,+,BSU_00630,NC_000964.3
3'yabR,70013,70052,3'UTR,+,BSU_00630,NC_000964.3
5'trnSL-Met1,70053,70170,tRNA,+,BSU_tRNA_10,NC_000964.3
trnSL-Met1,70171,70267,tRNA,+,BSU_tRNA_10,NC_000964.3
trnSL-Glu1,70257,70348,tRNA,+,BSU_tRNA_11,NC_000964.3
3'trnSL-Glu1,70349,70388,tRNA,+,BSU_tRNA_11,NC_000964.3
5'spoIIE,70389,70537,5'UTR,+,BSU_00640,NC_000964.3
spoIIE,70538,73021,CDS,+,BSU_00640,NC_000964.3
3'spoIIE,73022,73061,3'UTR,+,BSU_00640,NC_000964.3
5'yabS,73062,73105,5'UTR,+,BSU_00650,NC_000964.3
yabS,73106,73843,CDS,+,BSU_00650,NC_000964.3
prkT,73809,74825,CDS,+,BSU_00660,NC_000964.3
3'prkT,74826,74865,3'UTR,+,BSU_00660,NC_000964.3
5'tilS,74866,74928,5'UTR,+,BSU_00670,NC_000964.3
tilS,74929,76347,CDS,+,BSU_00670,NC_000964.3
hprT,76344,76886,CDS,+,BSU_00680,NC_000964.3
3'hprT,76887,76926,3'UTR,+,BSU_00680,NC_000964.3
5'ftsH,76927,76983,5'UTR,+,BSU_00690,NC_000964.3
ftsH,76984,78897,CDS,+,BSU_00690,NC_000964.3
3'ftsH,78898,78937,3'UTR,+,BSU_00690,NC_000964.3
5'coaX,78938,79091,5'UTR,+,BSU_00700,NC_000964.3
coaX,79092,79879,CDS,+,BSU_00700,NC_000964.3
hslO,79880,80755,CDS,+,BSU_00710,NC_000964.3
3'hslO,80756,80778,3'UTR,+,BSU_00710,NC_000964.3
5'yacD,80779,80801,5'UTR,+,BSU_00720,NC_000964.3
yacD,80802,81695,CDS,+,BSU_00720,NC_000964.3
3'yacD,81696,81732,3'UTR,+,BSU_00720,NC_000964.3
5'cysK,81733,81770,5'UTR,+,BSU_00730,NC_000964.3
cysK,81771,82697,CDS,+,BSU_00730,NC_000964.3
3'cysK,82698,82737,3'UTR,+,BSU_00730,NC_000964.3
5'pabB,82738,82863,5'UTR,+,BSU_00740,NC_000964.3
pabB,82864,84276,CDS,+,BSU_00740,NC_000964.3
pabA,84277,84874,CDS,+,BSU_00750,NC_000964.3
pabC,84874,85755,CDS,+,BSU_00760,NC_000964.3
folP,85737,86594,CDS,+,BSU_00770,NC_000964.3
folB,86587,86949,CDS,+,BSU_00780,NC_000964.3
folK,86946,87449,CDS,+,BSU_00790,NC_000964.3
yazB,87401,87633,CDS,+,BSU_00800,NC_000964.3
dusB,87634,88635,CDS,+,BSU_00810,NC_000964.3
3'dusB,88636,88675,3'UTR,+,BSU_00810,NC_000964.3
5'lysS,88676,88726,5'UTR,+,BSU_00820,NC_000964.3
lysS,88727,90226,CDS,+,BSU_00820,NC_000964.3
3'lysS,90227,90266,3'UTR,+,BSU_00820,NC_000964.3
5'rrnJ-16S,90267,90535,5'UTR,+,BSU_rRNA_6,NC_000964.3
rrnJ-16S,90536,92089,rRNA,+,BSU_rRNA_6,NC_000964.3
3'rrnJ-16S,92090,92129,3'UTR,+,BSU_rRNA_6,NC_000964.3
5'rrnJ-23S,92130,92253,5'UTR,+,BSU_rRNA_7,NC_000964.3
rrnJ-23S,92254,95181,rRNA,+,BSU_rRNA_7,NC_000964.3
3'rrnJ-23S,95182,95208,3'UTR,+,BSU_rRNA_7,NC_000964.3
5'rrnJ-5S,95209,95236,5'UTR,+,BSU_rRNA_8,NC_000964.3
rrnJ-5S,95237,95354,rRNA,+,BSU_rRNA_8,NC_000964.3
trnJ-Val,95355,95460,tRNA,+,BSU_tRNA_12,NC_000964.3
trnJ-Thr,95445,95556,tRNA,+,BSU_tRNA_13,NC_000964.3
trnJ-Lys,95557,95652,tRNA,+,BSU_tRNA_14,NC_000964.3
trnJ-Leu1,95639,95741,tRNA,+,BSU_tRNA_15,NC_000964.3
trnJ-Gly,95742,95856,tRNA,+,BSU_tRNA_16,NC_000964.3
trnJ-Leu2,95851,95956,tRNA,+,BSU_tRNA_17,NC_000964.3
trnJ-Arg,95946,96049,tRNA,+,BSU_tRNA_18,NC_000964.3
trnJ-Pro,96050,96146,tRNA,+,BSU_tRNA_19,NC_000964.3
trnJ-Ala,96136,96231,tRNA,+,BSU_tRNA_20,NC_000964.3
3'trnJ-Ala,96232,96271,tRNA,+,BSU_tRNA_20,NC_000964.3
5'rrnW-16S,96272,96391,5'UTR,+,BSU_rRNA_9,NC_000964.3
rrnW-16S,96392,97945,rRNA,+,BSU_rRNA_9,NC_000964.3
3'rrnW-16S,97946,97985,3'UTR,+,BSU_rRNA_9,NC_000964.3
5'rrnW-23S,97986,98109,5'UTR,+,BSU_rRNA_10,NC_000964.3
rrnW-23S,98110,101037,rRNA,+,BSU_rRNA_10,NC_000964.3
3'rrnW-23S,101038,101064,3'UTR,+,BSU_rRNA_10,NC_000964.3
5'rrnW-5S,101065,101092,5'UTR,+,BSU_rRNA_11,NC_000964.3
rrnW-5S,101093,101211,rRNA,+,BSU_rRNA_11,NC_000964.3
3'rrnW-5S,101212,101251,3'UTR,+,BSU_rRNA_11,NC_000964.3
5'ctsR,101252,101448,5'UTR,+,BSU_00830,NC_000964.3
ctsR,101449,101926,CDS,+,BSU_00830,NC_000964.3
mcsA,101927,102484,CDS,+,BSU_00840,NC_000964.3
mcsB,102484,103575,CDS,+,BSU_00850,NC_000964.3
clpC,103572,106004,CDS,+,BSU_00860,NC_000964.3
3'clpC,106005,106044,3'UTR,+,BSU_00860,NC_000964.3
5'radA,106045,106095,5'UTR,+,BSU_00870,NC_000964.3
radA,106096,107472,CDS,+,BSU_00870,NC_000964.3
disA,107473,108558,CDS,+,BSU_00880,NC_000964.3
3'disA,108559,108598,3'UTR,+,BSU_00880,NC_000964.3
5'yacL,108599,108673,5'UTR,+,BSU_00890,NC_000964.3
yacL,108674,109774,CDS,+,BSU_00890,NC_000964.3
ispD,109775,110487,CDS,+,BSU_00900,NC_000964.3
ispF,110480,110956,CDS,+,BSU_00910,NC_000964.3
3'ispF,110957,110996,3'UTR,+,BSU_00910,NC_000964.3
5'gltX,110997,111046,5'UTR,+,BSU_00920,NC_000964.3
gltX,111047,112498,CDS,+,BSU_00920,NC_000964.3
3'gltX,112499,112538,3'UTR,+,BSU_00920,NC_000964.3
5'cysE,112539,112799,5'UTR,+,BSU_00930,NC_000964.3
cysE,112800,113453,CDS,+,BSU_00930,NC_000964.3
cysS,113450,114850,CDS,+,BSU_00940,NC_000964.3
mrnC,114851,115285,CDS,+,BSU_00950,NC_000964.3
rlmB,115269,116018,CDS,+,BSU_00960,NC_000964.3
raeA,116019,116537,CDS,+,BSU_00970,NC_000964.3
3'raeA,116538,116568,3'UTR,+,BSU_00970,NC_000964.3
5'sigH,116569,116599,5'UTR,+,BSU_00980,NC_000964.3
sigH,116600,117256,CDS,+,BSU_00980,NC_000964.3
3'sigH,117257,117296,3'UTR,+,BSU_00980,NC_000964.3
5'rpmGB,117297,117348,5'UTR,+,BSU_00990,NC_000964.3
rpmGB,117349,117531,CDS,+,BSU_00990,NC_000964.3
secE,117532,117711,CDS,+,BSU_01000,NC_000964.3
3'secE,117712,117751,3'UTR,+,BSU_01000,NC_000964.3
5'nusG,117752,117889,5'UTR,+,BSU_01010,NC_000964.3
nusG,117890,118423,CDS,+,BSU_01010,NC_000964.3
3'nusG,118424,118463,3'UTR,+,BSU_01010,NC_000964.3
5'rplK,118464,118590,5'UTR,+,BSU_01020,NC_000964.3
rplK,118591,119016,CDS,+,BSU_01020,NC_000964.3
3'rplK,119017,119056,3'UTR,+,BSU_01020,NC_000964.3
5'rplA,119057,119110,5'UTR,+,BSU_01030,NC_000964.3
rplA,119111,119809,CDS,+,BSU_01030,NC_000964.3
ldlJ,119810,120005,ncRNA,+,BSU_misc_RNA_3,NC_000964.3
3'ldlJ,120006,120032,3'UTR,+,BSU_misc_RNA_3,NC_000964.3
5'rplJ,120033,120060,5'UTR,+,BSU_01040,NC_000964.3
rplJ,120061,120561,CDS,+,BSU_01040,NC_000964.3
3'rplJ,120562,120583,3'UTR,+,BSU_01040,NC_000964.3
5'rplL,120584,120606,5'UTR,+,BSU_01050,NC_000964.3
rplL,120607,120978,CDS,+,BSU_01050,NC_000964.3
3'rplL,120979,121018,3'UTR,+,BSU_01050,NC_000964.3
5'rlmG,121019,121067,5'UTR,+,BSU_01060,NC_000964.3
rlmG,121068,121673,CDS,+,BSU_01060,NC_000964.3
3'rlmG,121674,121713,3'UTR,+,BSU_01060,NC_000964.3
5'rpoB,121714,121918,5'UTR,+,BSU_01070,NC_000964.3
rpoB,121919,125500,CDS,+,BSU_01070,NC_000964.3
3'rpoB,125501,125530,3'UTR,+,BSU_01070,NC_000964.3
5'rpoC,125531,125561,5'UTR,+,BSU_01080,NC_000964.3
rpoC,125562,129161,CDS,+,BSU_01080,NC_000964.3
3'rpoC,129162,129201,3'UTR,+,BSU_01080,NC_000964.3
5'rulS,129202,129339,5'UTR,+,BSU_01090,NC_000964.3
rulS,129340,129588,CDS,+,BSU_01090,NC_000964.3
3'rulS,129589,129628,3'UTR,+,BSU_01090,NC_000964.3
5'rpsL,129629,129701,5'UTR,+,BSU_01100,NC_000964.3
rpsL,129702,130118,CDS,+,BSU_01100,NC_000964.3
3'rpsL,130119,130138,3'UTR,+,BSU_01100,NC_000964.3
5'rpsG,130139,130159,5'UTR,+,BSU_01110,NC_000964.3
rpsG,130160,130630,CDS,+,BSU_01110,NC_000964.3
3'rpsG,130631,130656,3'UTR,+,BSU_01110,NC_000964.3
5'fusA,130657,130683,5'UTR,+,BSU_01120,NC_000964.3
fusA,130684,132762,CDS,+,BSU_01120,NC_000964.3
3'fusA,132763,132802,3'UTR,+,BSU_01120,NC_000964.3
5'tufA,132803,132881,5'UTR,+,BSU_01130,NC_000964.3
tufA,132882,134072,CDS,+,BSU_01130,NC_000964.3
3'tufA,134073,134112,3'UTR,+,BSU_01130,NC_000964.3
5'ybaC,134113,134170,5'UTR,+,BSU_01140,NC_000964.3
ybaC,134171,135127,CDS,+,BSU_01140,NC_000964.3
3'ybaC,135128,135167,3'UTR,+,BSU_01140,NC_000964.3
5'rpsJ,135168,135363,5'UTR,+,BSU_01150,NC_000964.3
rpsJ,135364,135711,CDS,+,BSU_01150,NC_000964.3
rplC,135712,136341,CDS,+,BSU_01160,NC_000964.3
rplD,136342,136992,CDS,+,BSU_01170,NC_000964.3
rplW,136992,137310,CDS,+,BSU_01180,NC_000964.3
rplB,137311,138144,CDS,+,BSU_01190,NC_000964.3
3'rplB,138145,138172,3'UTR,+,BSU_01190,NC_000964.3
5'rpsS,138173,138201,5'UTR,+,BSU_01200,NC_000964.3
rpsS,138202,138496,CDS,+,BSU_01200,NC_000964.3
rplV,138497,138841,CDS,+,BSU_01210,NC_000964.3
rpsC,138842,139498,CDS,+,BSU_01220,NC_000964.3
rplP,139499,139934,CDS,+,BSU_01230,NC_000964.3
rpmC,139924,140146,CDS,+,BSU_01240,NC_000964.3
rpsQ,140147,140410,CDS,+,BSU_01250,NC_000964.3
3'rpsQ,140411,140430,3'UTR,+,BSU_01250,NC_000964.3
5'rplNA,140431,140450,5'UTR,+,BSU_01260,NC_000964.3
rplNA,140451,140819,CDS,+,BSU_01260,NC_000964.3
rplX,140820,141194,CDS,+,BSU_01270,NC_000964.3
rplE,141195,141734,CDS,+,BSU_01280,NC_000964.3
rpsNA,141735,141973,CDS,+,BSU_01290,NC_000964.3
rpsH,141974,142401,CDS,+,BSU_01300,NC_000964.3
rplF,142402,142941,CDS,+,BSU_01310,NC_000964.3
rplR,142942,143360,CDS,+,BSU_01320,NC_000964.3
rpsE,143361,143861,CDS,+,BSU_01330,NC_000964.3
rpmD,143862,144084,CDS,+,BSU_01340,NC_000964.3
rplO,144085,144526,CDS,+,BSU_01350,NC_000964.3
secY,144527,145822,CDS,+,BSU_01360,NC_000964.3
3'secY,145823,145849,3'UTR,+,BSU_01360,NC_000964.3
5'adk,145850,145876,5'UTR,+,BSU_01370,NC_000964.3
adk,145877,146530,CDS,+,BSU_01370,NC_000964.3
mapA,146527,147273,CDS,+,BSU_01380,NC_000964.3
ybzG,147274,147536,CDS,+,BSU_01389,NC_000964.3
3'ybzG,147537,147560,3'UTR,+,BSU_01389,NC_000964.3
5'infA,147561,147584,5'UTR,+,BSU_01390,NC_000964.3
infA,147585,147803,CDS,+,BSU_01390,NC_000964.3
rpmJ,147804,147972,CDS,+,BSU_01400,NC_000964.3
rpsM,147973,148358,CDS,+,BSU_01410,NC_000964.3
rpsK,148359,148754,CDS,+,BSU_01420,NC_000964.3
3'rpsK,148755,148794,3'UTR,+,BSU_01420,NC_000964.3
5'rpoA,148795,148930,5'UTR,+,BSU_01430,NC_000964.3
rpoA,148931,149875,CDS,+,BSU_01430,NC_000964.3
3'rpoA,149876,149913,3'UTR,+,BSU_01430,NC_000964.3
5'rplQ,149914,149952,5'UTR,+,BSU_01440,NC_000964.3
rplQ,149953,150315,CDS,+,BSU_01440,NC_000964.3
3'rplQ,150316,150355,3'UTR,+,BSU_01440,NC_000964.3
5'ecfA,150356,150442,5'UTR,+,BSU_01450,NC_000964.3
ecfA,150443,151288,CDS,+,BSU_01450,NC_000964.3
ecfAB,151289,152133,CDS,+,BSU_01460,NC_000964.3
ecfT,152130,152927,CDS,+,BSU_01470,NC_000964.3
truA,152928,153680,CDS,+,BSU_01480,NC_000964.3
3'truA,153681,153703,3'UTR,+,BSU_01480,NC_000964.3
5'ldlM,153704,153726,5'UTR,+,BSU_misc_RNA_4,NC_000964.3
ldlM,153727,153841,ncRNA,+,BSU_misc_RNA_4,NC_000964.3
rplM,153842,154279,CDS,+,BSU_01490,NC_000964.3
rpsI,154280,154692,CDS,+,BSU_01500,NC_000964.3
3'rpsI,154693,154732,3'UTR,+,BSU_01500,NC_000964.3
5'ybaJ,154733,155155,5'UTR,+,BSU_01510,NC_000964.3
ybaJ,155156,155923,CDS,+,BSU_01510,NC_000964.3
3'ybaJ,155924,155963,3'UTR,+,BSU_01510,NC_000964.3
5'ybaK,155964,156108,5'UTR,+,BSU_01520,NC_000964.3
ybaK,156109,156552,CDS,+,BSU_01520,NC_000964.3
3'ybaK,156553,156581,3'UTR,+,BSU_01520,NC_000964.3
5'cwlD,156582,156611,5'UTR,+,BSU_01530,NC_000964.3
cwlD,156612,157325,CDS,+,BSU_01530,NC_000964.3
3'cwlD,157326,157365,3'UTR,+,BSU_01530,NC_000964.3
5'salA,157366,157420,5'UTR,+,BSU_01540,NC_000964.3
salA,157421,158479,CDS,+,BSU_01540,NC_000964.3
gerD,158480,159072,CDS,-,BSU_01550,NC_000964.3
5'gerD,159073,159126,5'UTR,-,BSU_01550,NC_000964.3
5'kbaA,159127,159181,5'UTR,+,BSU_01560,NC_000964.3
kbaA,159182,159778,CDS,+,BSU_01560,NC_000964.3
pdaB,159779,160543,CDS,-,BSU_01570,NC_000964.3
5'pdaB,160544,160717,5'UTR,-,BSU_01570,NC_000964.3
5'rrnI-16S,160718,160892,5'UTR,+,BSU_rRNA_23,NC_000964.3
rrnI-16S,160893,162445,rRNA,+,BSU_rRNA_23,NC_000964.3
3'rrnI-16S,162446,162485,3'UTR,+,BSU_rRNA_23,NC_000964.3
5'rrnI-23S,162486,162609,5'UTR,+,BSU_rRNA_14,NC_000964.3
rrnI-23S,162610,165535,rRNA,+,BSU_rRNA_14,NC_000964.3
3'rrnI-23S,165536,165562,3'UTR,+,BSU_rRNA_14,NC_000964.3
5'rrnI-5S,165563,165590,5'UTR,+,BSU_rRNA_15,NC_000964.3
