gene_name,start,end,feature_type,strand,locus_tag,chromosome
MXAN_RS00065,12409,12915,CDS,-,MXAN_RS00065,NC_008095.1
5'MXAN_RS00065,12916,13021,5'UTR,-,MXAN_RS00065,NC_008095.1
5'MXAN_RS00070,13022,13128,5'UTR,+,MXAN_RS00070,NC_008095.1
MXAN_RS00070,13129,14049,CDS,+,MXAN_RS00070,NC_008095.1
MXAN_RS00075,14050,14845,CDS,-,MXAN_RS00075,NC_008095.1
5'MXAN_RS00075,14846,14962,5'UTR,-,MXAN_RS00075,NC_008095.1
5'yjjJ,14963,15079,5'UTR,+,MXAN_RS00080,NC_008095.1
yjjJ,15080,16411,CDS,+,MXAN_RS00080,NC_008095.1
MXAN_RS00085,16412,18307,CDS,-,MXAN_RS00085,NC_008095.1
5'MXAN_RS00085,18308,18485,5'UTR,-,MXAN_RS00085,NC_008095.1
3'gshB,18486,18525,3'UTR,-,MXAN_RS00090,NC_008095.1
gshB,18526,19494,CDS,-,MXAN_RS00090,NC_008095.1
5'gshB,19495,19534,5'UTR,-,MXAN_RS00090,NC_008095.1
3'MXAN_RS00095,19535,19573,3'UTR,-,MXAN_RS00095,NC_008095.1
MXAN_RS00095,19574,21268,CDS,-,MXAN_RS00095,NC_008095.1
5'MXAN_RS00095,21269,21603,5'UTR,-,MXAN_RS00095,NC_008095.1
3'MXAN_RS00100,21604,21643,3'UTR,-,MXAN_RS00100,NC_008095.1
MXAN_RS00100,21644,21969,CDS,-,MXAN_RS00100,NC_008095.1
MXAN_RS00105,21970,22266,CDS,-,MXAN_RS00105,NC_008095.1
5'MXAN_RS00105,22267,22368,5'UTR,-,MXAN_RS00105,NC_008095.1
5'MXAN_RS00110,22369,22470,5'UTR,+,MXAN_RS00110,NC_008095.1
MXAN_RS00110,22471,24672,CDS,+,MXAN_RS00110,NC_008095.1
MXAN_RS00115,24666,25397,CDS,-,MXAN_RS00115,NC_008095.1
5'MXAN_RS00115,25398,25781,5'UTR,-,MXAN_RS00115,NC_008095.1
3'MXAN_RS00120,25782,25821,3'UTR,-,MXAN_RS00120,NC_008095.1
MXAN_RS00120,25822,27285,CDS,-,MXAN_RS00120,NC_008095.1
5'MXAN_RS00120,27286,27399,5'UTR,-,MXAN_RS00120,NC_008095.1
3'MXAN_RS00125,27400,27439,3'UTR,-,MXAN_RS00125,NC_008095.1
MXAN_RS00125,27440,28174,CDS,-,MXAN_RS00125,NC_008095.1
5'MXAN_RS00125,28175,28223,5'UTR,-,MXAN_RS00125,NC_008095.1
3'MXAN_RS00130,28224,28263,3'UTR,-,MXAN_RS00130,NC_008095.1
MXAN_RS00130,28264,31071,CDS,-,MXAN_RS00130,NC_008095.1
5'MXAN_RS00130,31072,31230,5'UTR,-,MXAN_RS00130,NC_008095.1
5'MXAN_RS00135,31231,31390,5'UTR,+,MXAN_RS00135,NC_008095.1
MXAN_RS00135,31391,33286,CDS,+,MXAN_RS00135,NC_008095.1
MXAN_RS00140,33255,33941,CDS,+,MXAN_RS00140,NC_008095.1
MXAN_RS00145,33942,34380,CDS,+,MXAN_RS00145,NC_008095.1
MXAN_RS00150,34381,35109,CDS,-,MXAN_RS00150,NC_008095.1
5'MXAN_RS00150,35110,35178,5'UTR,-,MXAN_RS00150,NC_008095.1
3'MXAN_RS00155,35179,35218,3'UTR,-,MXAN_RS00155,NC_008095.1
MXAN_RS00155,35219,35713,CDS,-,MXAN_RS00155,NC_008095.1
5'MXAN_RS00155,35714,35871,5'UTR,-,MXAN_RS00155,NC_008095.1
5'MXAN_RS00160,35872,36030,5'UTR,+,MXAN_RS00160,NC_008095.1
MXAN_RS00160,36031,38070,CDS,+,MXAN_RS00160,NC_008095.1
MXAN_RS00165,38071,39049,CDS,-,MXAN_RS00165,NC_008095.1
5'MXAN_RS00165,39050,39208,5'UTR,-,MXAN_RS00165,NC_008095.1
5'MXAN_RS00170,39209,39367,5'UTR,+,MXAN_RS00170,NC_008095.1
MXAN_RS00170,39368,39951,CDS,+,MXAN_RS00170,NC_008095.1
MXAN_RS00175,39952,40524,CDS,+,MXAN_RS00175,NC_008095.1
3'MXAN_RS00175,40525,40564,3'UTR,+,MXAN_RS00175,NC_008095.1
5'MXAN_RS00180,40565,40721,5'UTR,+,MXAN_RS00180,NC_008095.1
MXAN_RS00180,40722,41219,CDS,+,MXAN_RS00180,NC_008095.1
MXAN_RS00185,41220,41990,CDS,-,MXAN_RS00185,NC_008095.1
5'MXAN_RS00185,41991,42019,5'UTR,-,MXAN_RS00185,NC_008095.1
3'MXAN_RS00190,42020,42048,3'UTR,-,MXAN_RS00190,NC_008095.1
MXAN_RS00190,42049,43059,CDS,-,MXAN_RS00190,NC_008095.1
5'MXAN_RS00190,43060,43099,5'UTR,-,MXAN_RS00190,NC_008095.1
3'MXAN_RS00195,43100,43138,3'UTR,-,MXAN_RS00195,NC_008095.1
MXAN_RS00195,43139,43909,CDS,-,MXAN_RS00195,NC_008095.1
MXAN_RS00200,43910,44809,CDS,-,MXAN_RS00200,NC_008095.1
5'MXAN_RS00200,44810,44908,5'UTR,-,MXAN_RS00200,NC_008095.1
5'MXAN_RS00205,44909,45007,5'UTR,+,MXAN_RS00205,NC_008095.1
MXAN_RS00205,45008,45387,CDS,+,MXAN_RS00205,NC_008095.1
MXAN_RS00210,45388,45954,CDS,-,MXAN_RS00210,NC_008095.1
5'MXAN_RS00210,45955,46060,5'UTR,-,MXAN_RS00210,NC_008095.1
5'MXAN_RS00215,46061,46166,5'UTR,+,MXAN_RS00215,NC_008095.1
MXAN_RS00215,46167,47273,CDS,+,MXAN_RS00215,NC_008095.1
MXAN_RS00220,47274,49155,CDS,+,MXAN_RS00220,NC_008095.1
MXAN_RS00225,49156,51831,CDS,-,MXAN_RS00225,NC_008095.1
5'MXAN_RS00225,51832,51851,5'UTR,-,MXAN_RS00225,NC_008095.1
3'MXAN_RS00230,51852,51871,3'UTR,-,MXAN_RS00230,NC_008095.1
MXAN_RS00230,51872,53212,CDS,-,MXAN_RS00230,NC_008095.1
MXAN_RS00235,53209,53673,CDS,-,MXAN_RS00235,NC_008095.1
5'MXAN_RS00235,53674,53733,5'UTR,-,MXAN_RS00235,NC_008095.1
5'MXAN_RS00240,53734,53793,5'UTR,+,MXAN_RS00240,NC_008095.1
MXAN_RS00240,53794,54915,CDS,+,MXAN_RS00240,NC_008095.1
MXAN_RS00245,54872,55488,CDS,-,MXAN_RS00245,NC_008095.1
MXAN_RS00250,55489,56073,CDS,-,MXAN_RS00250,NC_008095.1
5'MXAN_RS00250,56074,56099,5'UTR,-,MXAN_RS00250,NC_008095.1
3'MXAN_RS00255,56100,56125,3'UTR,-,MXAN_RS00255,NC_008095.1
MXAN_RS00255,56126,56488,CDS,-,MXAN_RS00255,NC_008095.1
MXAN_RS00260,56489,57098,CDS,-,MXAN_RS00260,NC_008095.1
MXAN_RS00265,57099,57971,CDS,-,MXAN_RS00265,NC_008095.1
5'MXAN_RS00265,57972,58008,5'UTR,-,MXAN_RS00265,NC_008095.1
5'MXAN_RS00270,58009,58045,5'UTR,+,MXAN_RS00270,NC_008095.1
MXAN_RS00270,58046,58836,CDS,+,MXAN_RS00270,NC_008095.1
MXAN_RS00275,58837,59880,CDS,-,MXAN_RS00275,NC_008095.1
5'MXAN_RS00275,59881,59935,5'UTR,-,MXAN_RS00275,NC_008095.1
5'MXAN_RS00280,59936,59990,5'UTR,+,MXAN_RS00280,NC_008095.1
MXAN_RS00280,59991,60509,CDS,+,MXAN_RS00280,NC_008095.1
3'MXAN_RS00280,60510,60532,3'UTR,+,MXAN_RS00280,NC_008095.1
3'MXAN_RS00285,60533,60555,3'UTR,-,MXAN_RS00285,NC_008095.1
MXAN_RS00285,60556,60996,CDS,-,MXAN_RS00285,NC_008095.1
5'MXAN_RS00285,60997,61072,5'UTR,-,MXAN_RS00285,NC_008095.1
5'MXAN_RS00290,61073,61149,5'UTR,+,MXAN_RS00290,NC_008095.1
MXAN_RS00290,61150,62303,CDS,+,MXAN_RS00290,NC_008095.1
ppk1,62304,64466,CDS,-,MXAN_RS00295,NC_008095.1
5'ppk1,64467,64557,5'UTR,-,MXAN_RS00295,NC_008095.1
5'MXAN_RS00300,64558,64648,5'UTR,+,MXAN_RS00300,NC_008095.1
MXAN_RS00300,64649,65146,CDS,+,MXAN_RS00300,NC_008095.1
3'MXAN_RS00300,65147,65186,3'UTR,+,MXAN_RS00300,NC_008095.1
5'MXAN_RS00305,65187,65245,5'UTR,+,MXAN_RS00305,NC_008095.1
MXAN_RS00305,65246,65800,CDS,+,MXAN_RS00305,NC_008095.1
3'MXAN_RS00305,65801,65835,3'UTR,+,MXAN_RS00305,NC_008095.1
3'MXAN_RS00310,65836,65871,3'UTR,-,MXAN_RS00310,NC_008095.1
MXAN_RS00310,65872,68061,CDS,-,MXAN_RS00310,NC_008095.1
5'MXAN_RS00310,68062,68183,5'UTR,-,MXAN_RS00310,NC_008095.1
5'MXAN_RS00315,68184,68305,5'UTR,+,MXAN_RS00315,NC_008095.1
MXAN_RS00315,68306,70582,CDS,+,MXAN_RS00315,NC_008095.1
MXAN_RS00320,70583,71488,CDS,-,MXAN_RS00320,NC_008095.1
5'MXAN_RS00320,71489,71588,5'UTR,-,MXAN_RS00320,NC_008095.1
3'MXAN_RS00325,71589,71628,3'UTR,-,MXAN_RS00325,NC_008095.1
MXAN_RS00325,71629,72132,CDS,-,MXAN_RS00325,NC_008095.1
5'MXAN_RS00325,72133,72276,5'UTR,-,MXAN_RS00325,NC_008095.1
3'MXAN_RS00330,72277,72316,3'UTR,-,MXAN_RS00330,NC_008095.1
MXAN_RS00330,72317,73246,CDS,-,MXAN_RS00330,NC_008095.1
5'MXAN_RS00330,73247,73348,5'UTR,-,MXAN_RS00330,NC_008095.1
3'MXAN_RS00335,73349,73388,3'UTR,-,MXAN_RS00335,NC_008095.1
MXAN_RS00335,73389,74741,CDS,-,MXAN_RS00335,NC_008095.1
5'MXAN_RS00335,74742,74879,5'UTR,-,MXAN_RS00335,NC_008095.1
5'MXAN_RS00340,74880,75018,5'UTR,+,MXAN_RS00340,NC_008095.1
MXAN_RS00340,75019,75351,CDS,+,MXAN_RS00340,NC_008095.1
3'MXAN_RS00340,75352,75391,3'UTR,+,MXAN_RS00340,NC_008095.1
5'MXAN_RS00345,75392,75710,5'UTR,+,MXAN_RS00345,NC_008095.1
MXAN_RS00345,75711,76625,CDS,+,MXAN_RS00345,NC_008095.1
3'MXAN_RS00345,76626,76665,3'UTR,+,MXAN_RS00345,NC_008095.1
5'MXAN_RS00350,76666,76723,5'UTR,+,MXAN_RS00350,NC_008095.1
MXAN_RS00350,76724,77047,CDS,+,MXAN_RS00350,NC_008095.1
3'MXAN_RS00350,77048,77437,3'UTR,+,MXAN_RS00350,NC_008095.1
3'MXAN_RS38475,77438,77827,3'UTR,-,MXAN_RS38475,NC_008095.1
MXAN_RS38475,77828,77938,pseudogene,-,MXAN_RS38475,NC_008095.1
MXAN_RS38475,77828,77938,CDS,-,MXAN_RS38475,NC_008095.1
5'MXAN_RS38475,77939,78032,5'UTR,-,MXAN_RS38475,NC_008095.1
5'MXAN_RS00355,78033,78127,5'UTR,+,MXAN_RS00355,NC_008095.1
MXAN_RS00355,78128,79564,CDS,+,MXAN_RS00355,NC_008095.1
MXAN_RS00360,79565,80298,CDS,-,MXAN_RS00360,NC_008095.1
5'MXAN_RS00360,80299,80415,5'UTR,-,MXAN_RS00360,NC_008095.1
3'MXAN_RS00365,80416,80455,3'UTR,-,MXAN_RS00365,NC_008095.1
MXAN_RS00365,80456,80920,CDS,-,MXAN_RS00365,NC_008095.1
MXAN_RS00370,80917,81369,CDS,-,MXAN_RS00370,NC_008095.1
5'MXAN_RS00370,81370,81403,5'UTR,-,MXAN_RS00370,NC_008095.1
3'MXAN_RS00375,81404,81437,3'UTR,-,MXAN_RS00375,NC_008095.1
MXAN_RS00375,81438,82439,CDS,-,MXAN_RS00375,NC_008095.1
5'MXAN_RS00375,82440,82519,5'UTR,-,MXAN_RS00375,NC_008095.1
5'MXAN_RS00380,82520,82599,5'UTR,+,MXAN_RS00380,NC_008095.1
MXAN_RS00380,82600,86007,CDS,+,MXAN_RS00380,NC_008095.1
3'MXAN_RS00380,86008,86031,3'UTR,+,MXAN_RS00380,NC_008095.1
5'MXAN_RS00385,86032,86055,5'UTR,+,MXAN_RS00385,NC_008095.1
MXAN_RS00385,86056,86520,CDS,+,MXAN_RS00385,NC_008095.1
3'MXAN_RS00385,86521,86560,3'UTR,+,MXAN_RS00385,NC_008095.1
5'MXAN_RS00390,86561,86695,5'UTR,+,MXAN_RS00390,NC_008095.1
MXAN_RS00390,86696,87862,CDS,+,MXAN_RS00390,NC_008095.1
3'MXAN_RS00390,87863,87887,3'UTR,+,MXAN_RS00390,NC_008095.1
3'MXAN_RS00395,87888,87913,3'UTR,-,MXAN_RS00395,NC_008095.1
MXAN_RS00395,87914,88792,CDS,-,MXAN_RS00395,NC_008095.1
5'MXAN_RS00395,88793,88814,5'UTR,-,MXAN_RS00395,NC_008095.1
3'MXAN_RS00400,88815,88835,3'UTR,-,MXAN_RS00400,NC_008095.1
MXAN_RS00400,88836,89504,CDS,-,MXAN_RS00400,NC_008095.1
5'MXAN_RS00400,89505,89536,5'UTR,-,MXAN_RS00400,NC_008095.1
5'MXAN_RS00405,89537,89569,5'UTR,+,MXAN_RS00405,NC_008095.1
MXAN_RS00405,89570,91279,CDS,+,MXAN_RS00405,NC_008095.1
MXAN_RS00410,91280,92914,CDS,+,MXAN_RS00410,NC_008095.1
MXAN_RS00415,92915,94909,CDS,+,MXAN_RS00415,NC_008095.1
3'MXAN_RS00415,94910,94949,3'UTR,+,MXAN_RS00415,NC_008095.1
5'MXAN_RS00420,94950,95004,5'UTR,+,MXAN_RS00420,NC_008095.1
MXAN_RS00420,95005,96057,CDS,+,MXAN_RS00420,NC_008095.1
MXAN_RS00425,96058,96987,CDS,+,MXAN_RS00425,NC_008095.1
MXAN_RS00430,96988,97597,CDS,+,MXAN_RS00430,NC_008095.1
MXAN_RS00435,97598,98350,CDS,+,MXAN_RS00435,NC_008095.1
MXAN_RS00440,98351,99553,CDS,-,MXAN_RS00440,NC_008095.1
5'MXAN_RS00440,99554,99584,5'UTR,-,MXAN_RS00440,NC_008095.1
5'MXAN_RS00445,99585,99615,5'UTR,+,MXAN_RS00445,NC_008095.1
MXAN_RS00445,99616,100686,CDS,+,MXAN_RS00445,NC_008095.1
3'MXAN_RS00445,100687,100726,3'UTR,+,MXAN_RS00445,NC_008095.1
5'MXAN_RS00450,100727,100773,5'UTR,+,MXAN_RS00450,NC_008095.1
MXAN_RS00450,100774,101418,CDS,+,MXAN_RS00450,NC_008095.1
3'MXAN_RS00450,101419,101458,3'UTR,+,MXAN_RS00450,NC_008095.1
5'MXAN_RS00455,101459,101507,5'UTR,+,MXAN_RS00455,NC_008095.1
MXAN_RS00455,101508,102089,CDS,+,MXAN_RS00455,NC_008095.1
3'MXAN_RS00455,102090,102129,3'UTR,+,MXAN_RS00455,NC_008095.1
5'MXAN_RS00460,102130,102328,5'UTR,+,MXAN_RS00460,NC_008095.1
MXAN_RS00460,102329,103479,CDS,+,MXAN_RS00460,NC_008095.1
MXAN_RS00465,103480,106620,CDS,+,MXAN_RS00465,NC_008095.1
3'MXAN_RS00465,106621,106645,3'UTR,+,MXAN_RS00465,NC_008095.1
3'MXAN_RS00470,106646,106671,3'UTR,-,MXAN_RS00470,NC_008095.1
MXAN_RS00470,106672,107040,CDS,-,MXAN_RS00470,NC_008095.1
MXAN_RS00475,107033,108109,CDS,-,MXAN_RS00475,NC_008095.1
5'MXAN_RS00475,108110,108130,5'UTR,-,MXAN_RS00475,NC_008095.1
3'MXAN_RS00480,108131,108151,3'UTR,-,MXAN_RS00480,NC_008095.1
MXAN_RS00480,108152,110428,CDS,-,MXAN_RS00480,NC_008095.1
5'MXAN_RS00480,110429,110553,5'UTR,-,MXAN_RS00480,NC_008095.1
3'MXAN_RS00485,110554,110593,3'UTR,-,MXAN_RS00485,NC_008095.1
MXAN_RS00485,110594,111353,CDS,-,MXAN_RS00485,NC_008095.1
MXAN_RS00490,111354,112584,CDS,-,MXAN_RS00490,NC_008095.1
MXAN_RS00495,112585,114258,CDS,-,MXAN_RS00495,NC_008095.1
5'MXAN_RS00495,114259,114483,5'UTR,-,MXAN_RS00495,NC_008095.1
5'MXAN_RS00500,114484,114709,5'UTR,+,MXAN_RS00500,NC_008095.1
MXAN_RS00500,114710,116215,CDS,+,MXAN_RS00500,NC_008095.1
3'MXAN_RS00500,116216,116255,3'UTR,+,MXAN_RS00500,NC_008095.1
5'MXAN_RS00505,116256,116589,5'UTR,+,MXAN_RS00505,NC_008095.1
MXAN_RS00505,116590,117471,CDS,+,MXAN_RS00505,NC_008095.1
MXAN_RS36440,117468,118238,CDS,+,MXAN_RS36440,NC_008095.1
3'MXAN_RS36440,118239,118278,3'UTR,+,MXAN_RS36440,NC_008095.1
5'MXAN_RS00515,118279,118426,5'UTR,+,MXAN_RS00515,NC_008095.1
MXAN_RS00515,118427,118761,CDS,+,MXAN_RS00515,NC_008095.1
MXAN_RS00520,118762,119697,CDS,-,MXAN_RS00520,NC_008095.1
MXAN_RS00525,119698,121449,CDS,-,MXAN_RS00525,NC_008095.1
5'MXAN_RS00525,121450,121584,5'UTR,-,MXAN_RS00525,NC_008095.1
5'MXAN_RS00530,121585,121720,5'UTR,+,MXAN_RS00530,NC_008095.1
MXAN_RS00530,121721,123724,CDS,+,MXAN_RS00530,NC_008095.1
3'MXAN_RS00530,123725,123764,3'UTR,+,MXAN_RS00530,NC_008095.1
5'MXAN_RS00535,123765,124013,5'UTR,+,MXAN_RS00535,NC_008095.1
MXAN_RS00535,124014,125240,CDS,+,MXAN_RS00535,NC_008095.1
MXAN_RS00540,125241,126480,CDS,+,MXAN_RS00540,NC_008095.1
3'MXAN_RS00540,126481,126528,3'UTR,+,MXAN_RS00540,NC_008095.1
3'MXAN_RS37980,126529,126577,3'UTR,-,MXAN_RS37980,NC_008095.1
MXAN_RS37980,126578,126748,CDS,-,MXAN_RS37980,NC_008095.1
5'MXAN_RS37980,126749,126863,5'UTR,-,MXAN_RS37980,NC_008095.1
3'MXAN_RS00545,126864,126903,3'UTR,-,MXAN_RS00545,NC_008095.1
MXAN_RS00545,126904,127632,CDS,-,MXAN_RS00545,NC_008095.1
5'MXAN_RS00545,127633,127705,5'UTR,-,MXAN_RS00545,NC_008095.1
5'MXAN_RS00550,127706,127778,5'UTR,+,MXAN_RS00550,NC_008095.1
MXAN_RS00550,127779,129026,CDS,+,MXAN_RS00550,NC_008095.1
3'MXAN_RS00550,129027,129051,3'UTR,+,MXAN_RS00550,NC_008095.1
5'MXAN_RS00555,129052,129077,5'UTR,+,MXAN_RS00555,NC_008095.1
MXAN_RS00555,129078,130409,CDS,+,MXAN_RS00555,NC_008095.1
3'MXAN_RS00555,130410,130449,3'UTR,+,MXAN_RS00555,NC_008095.1
5'MXAN_RS00560,130450,130501,5'UTR,+,MXAN_RS00560,NC_008095.1
MXAN_RS00560,130502,131034,CDS,+,MXAN_RS00560,NC_008095.1
MXAN_RS00565,131035,132699,CDS,-,MXAN_RS00565,NC_008095.1
5'MXAN_RS00565,132700,132836,5'UTR,-,MXAN_RS00565,NC_008095.1
5'MXAN_RS00570,132837,132973,5'UTR,+,MXAN_RS00570,NC_008095.1
MXAN_RS00570,132974,134035,CDS,+,MXAN_RS00570,NC_008095.1
MXAN_RS00575,134036,134839,CDS,-,MXAN_RS00575,NC_008095.1
5'MXAN_RS00575,134840,134888,5'UTR,-,MXAN_RS00575,NC_008095.1
3'MXAN_RS00580,134889,134928,3'UTR,-,MXAN_RS00580,NC_008095.1
MXAN_RS00580,134929,136269,CDS,-,MXAN_RS00580,NC_008095.1
5'MXAN_RS00580,136270,136298,5'UTR,-,MXAN_RS00580,NC_008095.1
3'MXAN_RS00585,136299,136327,3'UTR,-,MXAN_RS00585,NC_008095.1
MXAN_RS00585,136328,139081,CDS,-,MXAN_RS00585,NC_008095.1
5'MXAN_RS00585,139082,139211,5'UTR,-,MXAN_RS00585,NC_008095.1
3'MXAN_RS00590,139212,139251,3'UTR,-,MXAN_RS00590,NC_008095.1
MXAN_RS00590,139252,139836,CDS,-,MXAN_RS00590,NC_008095.1
MXAN_RS00595,139837,141180,CDS,-,MXAN_RS00595,NC_008095.1
5'MXAN_RS00595,141181,141304,5'UTR,-,MXAN_RS00595,NC_008095.1
5'MXAN_RS00600,141305,141429,5'UTR,+,MXAN_RS00600,NC_008095.1
MXAN_RS00600,141430,141840,CDS,+,MXAN_RS00600,NC_008095.1
3'MXAN_RS00600,141841,141880,3'UTR,+,MXAN_RS00600,NC_008095.1
5'MXAN_RS00605,141881,141976,5'UTR,+,MXAN_RS00605,NC_008095.1
MXAN_RS00605,141977,143503,CDS,+,MXAN_RS00605,NC_008095.1
3'MXAN_RS00605,143504,143540,3'UTR,+,MXAN_RS00605,NC_008095.1
5'MXAN_RS00610,143541,143577,5'UTR,+,MXAN_RS00610,NC_008095.1
MXAN_RS00610,143578,144831,CDS,+,MXAN_RS00610,NC_008095.1
MXAN_RS00615,144824,146035,CDS,+,MXAN_RS00615,NC_008095.1
upp,146036,146683,CDS,+,MXAN_RS00620,NC_008095.1
3'upp,146684,146723,3'UTR,+,MXAN_RS00620,NC_008095.1
5'MXAN_RS00625,146724,146793,5'UTR,+,MXAN_RS00625,NC_008095.1
MXAN_RS00625,146794,147303,CDS,+,MXAN_RS00625,NC_008095.1
3'MXAN_RS00625,147304,147343,3'UTR,+,MXAN_RS00625,NC_008095.1
5'MXAN_RS00630,147344,147384,5'UTR,+,MXAN_RS00630,NC_008095.1
MXAN_RS00630,147385,148707,CDS,+,MXAN_RS00630,NC_008095.1
3'MXAN_RS00630,148708,148747,3'UTR,+,MXAN_RS00630,NC_008095.1
5'MXAN_RS00635,148748,148830,5'UTR,+,MXAN_RS00635,NC_008095.1
MXAN_RS00635,148831,150870,CDS,+,MXAN_RS00635,NC_008095.1
3'MXAN_RS00635,150871,150909,3'UTR,+,MXAN_RS00635,NC_008095.1
5'MXAN_RS00640,150910,150948,5'UTR,+,MXAN_RS00640,NC_008095.1
MXAN_RS00640,150949,151809,CDS,+,MXAN_RS00640,NC_008095.1
MXAN_RS00645,151806,153659,CDS,+,MXAN_RS00645,NC_008095.1
MXAN_RS00650,153660,154964,CDS,-,MXAN_RS00650,NC_008095.1
5'MXAN_RS00650,154965,155074,5'UTR,-,MXAN_RS00650,NC_008095.1
5'MXAN_RS00655,155075,155185,5'UTR,+,MXAN_RS00655,NC_008095.1
MXAN_RS00655,155186,156238,CDS,+,MXAN_RS00655,NC_008095.1
3'MXAN_RS00655,156239,156289,3'UTR,+,MXAN_RS00655,NC_008095.1
3'MXAN_RS00660,156290,156341,3'UTR,-,MXAN_RS00660,NC_008095.1
MXAN_RS00660,156342,157259,CDS,-,MXAN_RS00660,NC_008095.1
5'MXAN_RS00660,157260,157299,5'UTR,-,MXAN_RS00660,NC_008095.1
5'MXAN_RS00665,157300,157339,5'UTR,+,MXAN_RS00665,NC_008095.1
MXAN_RS00665,157340,157993,CDS,+,MXAN_RS00665,NC_008095.1
lnt,157990,159615,CDS,+,MXAN_RS00670,NC_008095.1
3'lnt,159616,159675,3'UTR,+,MXAN_RS00670,NC_008095.1
3'MXAN_RS00675,159676,159736,3'UTR,-,MXAN_RS00675,NC_008095.1
MXAN_RS00675,159737,160603,CDS,-,MXAN_RS00675,NC_008095.1
5'MXAN_RS00675,160604,160629,5'UTR,-,MXAN_RS00675,NC_008095.1
3'MXAN_RS00680,160630,160654,3'UTR,-,MXAN_RS00680,NC_008095.1
MXAN_RS00680,160655,162178,CDS,-,MXAN_RS00680,NC_008095.1
5'MXAN_RS00680,162179,162253,5'UTR,-,MXAN_RS00680,NC_008095.1
5'MXAN_RS00685,162254,162329,5'UTR,+,MXAN_RS00685,NC_008095.1
MXAN_RS00685,162330,163223,CDS,+,MXAN_RS00685,NC_008095.1
MXAN_RS00690,163224,164681,CDS,-,MXAN_RS00690,NC_008095.1
5'MXAN_RS00690,164682,165041,5'UTR,-,MXAN_RS00690,NC_008095.1
3'MXAN_RS00695,165042,165081,3'UTR,-,MXAN_RS00695,NC_008095.1
MXAN_RS00695,165082,166935,CDS,-,MXAN_RS00695,NC_008095.1
MXAN_RS00700,166932,173468,CDS,-,MXAN_RS00700,NC_008095.1
5'MXAN_RS00700,173469,173513,5'UTR,-,MXAN_RS00700,NC_008095.1
3'MXAN_RS00705,173514,173553,3'UTR,-,MXAN_RS00705,NC_008095.1
MXAN_RS00705,173554,174456,CDS,-,MXAN_RS00705,NC_008095.1
MXAN_RS00710,174457,177189,CDS,-,MXAN_RS00710,NC_008095.1
MXAN_RS00715,177190,178062,CDS,-,MXAN_RS00715,NC_008095.1
5'MXAN_RS00715,178063,178087,5'UTR,-,MXAN_RS00715,NC_008095.1
3'MXAN_RS00720,178088,178111,3'UTR,-,MXAN_RS00720,NC_008095.1
MXAN_RS00720,178112,181291,CDS,-,MXAN_RS00720,NC_008095.1
5'MXAN_RS00720,181292,181341,5'UTR,-,MXAN_RS00720,NC_008095.1
3'MXAN_RS00725,181342,181381,3'UTR,-,MXAN_RS00725,NC_008095.1
MXAN_RS00725,181382,182234,CDS,-,MXAN_RS00725,NC_008095.1
MXAN_RS39035,182235,185459,CDS,-,MXAN_RS39035,NC_008095.1
