"RIL-seq RNA pairs identified in E. coli (stationary phase) by Melamed et. al., Moleceular Cell 2016 (Table S2)'. Coordinates - E. coli K12 MG1655 (NC_000913.2) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNA1 name,RNA2 name,# of chimeric fragments,# of libraries,Odds Ratio,Normalized Odds Ratio,Fisher's exact test p-value,Free energy of hybridization (kcal/mol),Genomic annotation of RNA1,Genomic annotation of RNA2,RNA1 description,RNA2 description,RNA1 from,RNA1 to,RNA1 strand,RNA2 from,RNA2 to,RNA2 strand,Other fragments of RNA1,Other fragments of RNA2,Total other fragments,RNA1 in total RNA (# of reads),RNA2 in total RNA (# of reads),RNA1 IP/Total ratio,RNA2 IP/Total ratio,RNA1 EcoCyc ID,RNA2 EcoCyc ID,Code,Number
fur,aceK,33,1,3.8,0.3,3.63E-03,-3.6,CDS,CDS,DNA-binding transcriptional dual regulator of siderophore biosynthesis and transport,isocitrate dehydrogenase kinase/phosphatase,709529,709592,-,4216924,4216987,+,286,687236,22568251,75,2210,8.0,582.0,EG10359,EG10026,aceK::fur,1583
yccJ,aceK,31,U,4.3,0.2,2.81E-04,-7.9,CDS,CDS,predicted protein,isocitrate dehydrogenase kinase/phosphatase,1066124,1066429,-,4216712,4216900,+,2029,82628,23171118,493,1956,7.8,79.1,EG12703,EG10026,aceK::yccJ,1590
C0614.sseA.IGR,aceK,10,U,17.0,0.2,5.36E-03,-8.9,IGR,CDS,3-mercaptopyruvate sulfurtransferase : -,isocitrate dehydrogenase kinase/phosphatase,2651436,2651478,-,4216595,4216892,+,146,93184,23162466,131,3565,2.2,48.9,G0-8907.EG11600.IGR,EG10026,C0614.sseA.IGR::aceK,1589
clpB.rrsG.IGR,aceK,80,1,2.1,0.2,2.20E-02,-9.7,IGR,CDS,16S ribosomal RNA of rrnG operon : protein disaggregation chaperone,isocitrate dehydrogenase kinase/phosphatase,2729334,2729367,-,4216810,4216987,+,1139,751638,22502949,277,3209,8.2,438.4,EG10157.EG30089.IGR,EG10026,aceK::clpB.rrsG.IGR,1588
glpQ,aceK,73,1,2.6,0.1,2.70E-05,-8.9,CDS,CDS,periplasmic glycerophosphodiester phosphodiesterase,isocitrate dehydrogenase kinase/phosphatase,2348108,2348197,-,4216902,4216987,+,931,687196,22567606,423,2210,4.4,582.0,EG10399,EG10026,aceK::glpQ,1586
gatY,aceK,353,2,1.6,0.1,7.38E-08,-9.8,CDS,CDS,"D-tagatose 1,6-bisphosphate aldolase 2, catalytic subunit",isocitrate dehydrogenase kinase/phosphatase,2175104,2175256,-,4216914,4216987,+,7444,686916,22561093,2426,2210,6.0,582.0,EG12419,EG10026,aceK::gatY,1585
ryjB,aceK,538,2,6.3,0.1,3.25E-212,-7.2,other-ncRNA,CDS,-,isocitrate dehydrogenase kinase/phosphatase,4526008,4526112,+,4216801,4216987,+,2572,751180,22501516,6013,3209,1.0,438.4,G0-10609,EG10026,aceK::ryjB,1098
micL,acpP,78,3,13.1,4.0,6.11E-51,-12.4,sRNA,CDS,-,acyl carrier protein (ACP),1956507,1956544,-,1150825,1150894,+,12302,11271,23232155,167,669,138.7,31.7,G0-16601,EG50003,acpP::micL,1598
fnrS,ahpF,220,3,25.5,21.9,6.21E-212,-10.6,sRNA,CDS,-,"alkyl hydroperoxide reductase, F52a subunit, FAD/NAD(P)-binding",1407151,1407200,+,640367,640602,+,20556,9730,23225300,437,48,89.0,387.9,G0-10677,EG11385,ahpF::fnrS,609
ytfK,ahpF,156,3,63.0,7.3,3.30E-208,-8.3,CDS,CDS,"conserved protein, DUF1107 family","alkyl hydroperoxide reductase, F52a subunit, FAD/NAD(P)-binding",4437801,4437915,+,640542,640602,+,6059,9492,23240099,964,20,12.1,902.8,G7872,EG11385,ahpF::ytfK,1603
iscR,ahpF,12,U,10.9,3.9,1.26E-02,-7.9,CDS,CDS,DNA-binding transcriptional repressor,"alkyl hydroperoxide reductase, F52a subunit, FAD/NAD(P)-binding",2660120,2660222,-,640485,640603,+,2618,9812,23243364,132,37,37.3,496.9,G7326,EG11385,ahpF::iscR,1601
ytfK,ahpF,90,3,3.3,3.3,6.91E-15,-6.6,CDS,CDS,"conserved protein, DUF1107 family","alkyl hydroperoxide reductase, F52a subunit, FAD/NAD(P)-binding",4437711,4437800,+,640433,640603,+,65359,9734,23180623,945,37,129.6,496.9,G7872,EG11385,ahpF::ytfK,1602
fnrS,ahpF,38,3,2.9,2.9,3.67E-02,-12.0,sRNA,CDS,-,"alkyl hydroperoxide reductase, F52a subunit, FAD/NAD(P)-binding",1407202,1407239,+,640332,640599,+,53963,5684,23196121,671,48,150.6,223.1,G0-10677,EG11385,ahpF::fnrS,608
gadY,alaE,22,1,32.1,6.8,7.84E-19,-5.5,cis_AS_with_trans_t,CDS,-,-,3662886,3662945,+,2797199,2797246,+,20578,775,23234431,239,67,161.3,22.3,G0-8914,G7399,alaE::gadY,644
mgrR,alaX,344,3,31.9,0.0,0.00E+00,-7.7,sRNA,tRNA,-,Ala tRNA,1620883,1620941,-,2516063,2516109,-,31175,8033,23216254,2003,236588,29.4,0.1,G0-10671,EG30012,alaX::mgrR,755
yeaD.EST3UTR,allE.EST3UTR,14,U,5025.8,1428.1,7.24E-40,-5.7,3UTR,3UTR,conserved protein,-,1862795,1862838,+,542416,542437,-,49,1322,23254421,3,2,39.3,1250.1,G6966.EST3UTR.95,G6284.EST3UTR.48,allE.3UTR::yeaD.3UTR,1549
kgtP,allE.EST3UTR,28,2,21.6,19.2,9.02E-21,-8.6,CDS,3UTR,alpha-ketoglutarate transporter,-,2723779,2723824,-,542415,542464,-,23042,1308,23231428,466,2,92.6,1250.1,EG10522,G6284.EST3UTR.50,allE.3UTR::kgtP,1214
ychH,allE.EST3UTR,16,U,171.3,12.7,8.57E-24,-3.4,CDS,3UTR,predicted inner membrane protein,-,1258121,1258259,+,542415,542433,-,1645,1320,23252825,403,2,7.7,1250.1,EG11533,G6284.EST3UTR.50,allE.3UTR::ychH,1217
sra,allE.EST3UTR,32,1,65.9,9.4,1.66E-39,-6.2,CDS,3UTR,Stationary-phase-induced ribosome-associated protein,-,1553882,1554041,-,542383,542435,-,8604,1312,23245858,1093,3,14.8,838.4,EG11508,G6284.EST3UTR.50,allE.3UTR::sra,1216
sucD.EST3UTR,allE.EST3UTR,32,1,3.6,1.7,8.05E-03,-4.3,3UTR,3UTR,"succinyl-CoA synthetase, NAD(P)-binding, alpha subunit",-,764278,764337,+,542415,542463,-,156012,1304,23098458,6080,2,48.0,1250.1,EG10982.EST3UTR.17,G6284.EST3UTR.48,allE.3UTR::sucD.3UTR,1506
lpp,allE.EST3UTR,47,2,34.3,1.2,3.24E-47,-5.9,CDS,3UTR,murein lipoprotein,-,1755438,1755643,+,542415,542436,-,24713,1289,23229757,12342,2,3.8,1250.1,EG10544,G6284.EST3UTR.48,allE.3UTR::lpp,1215
grcA.5UTR,allR,57,3,244.5,20.1,7.14E-105,-10.6,5UTR,CDS,-,DNA-binding transcriptional repressor for all (allantoin) and gcl (glyoxylate) operons; glyoxylate-induced,2714505,2714532,-,532887,533088,+,361,15007,23240381,49,498,16.0,56.6,EG11784.5UTR,G6276,allR::grcA,1609
ftsA.ftsZ.IGT,allR,228,3,55.4,10.6,1.72E-293,-15.0,IGT,CDS,ATP-binding cell division protein involved in recruitment of FtsK to Z ring : GTP-binding tubulin-like cell division protein,DNA-binding transcriptional repressor for all (allantoin) and gcl (glyoxylate) operons; glyoxylate-induced,105136,105568,+,532885,533089,+,6445,14836,23234297,341,498,36.6,56.6,EG10339.EG10347.IGT,G6276,allR::ftsA.ftsZ.IGT,1606
ftsZ,allR,25,1,20.0,3.5,2.72E-17,-8.7,CDS,CDS,GTP-binding tubulin-like cell division protein,DNA-binding transcriptional repressor for all (allantoin) and gcl (glyoxylate) operons; glyoxylate-induced,105601,106002,+,533001,533088,+,2136,13595,23240050,219,135,18.5,188.8,EG10347,G6276,allR::ftsZ,1608
cpxP.5UTR,allR,18,U,12.8,0.3,9.47E-08,-10.6,5UTR,CDS,inhibitor of the cpx response; periplasmic adaptor protein,DNA-binding transcriptional repressor for all (allantoin) and gcl (glyoxylate) operons; glyoxylate-induced,4103807,4103934,+,532884,533088,+,2164,15046,23238578,1090,498,3.7,56.6,G7816.5UTR,G6276,allR::cpxP,1605
bssR,allR,46,2,6.9,0.1,1.01E-16,-9.7,CDS,CDS,repressor of biofilm formation by indole transport regulation,DNA-binding transcriptional repressor for all (allantoin) and gcl (glyoxylate) operons; glyoxylate-induced,877439,877853,+,532885,533088,+,10269,15018,23230473,10600,498,1.8,56.6,G6436,G6276,allR::bssR,1604
yehA.EST3UTR,arcA,17,U,68.2,5.5,7.04E-19,-8.1,3UTR,CDS,predicted fimbrial-like adhesin protein,DNA-binding response regulator in two-component regulatory system with ArcB or CpxA,2185361,2185396,-,4638268,4638317,-,4606,1259,23249924,8,283,1081.4,8.4,EG11987.EST3UTR.31,EG10061,arcA::yehA.3UTR,1550
lacA.lacY.IGT_AS,arcZ,50,2,607.7,607.7,1.31E-87,-2.4,AS,sRNA,thiogalactoside acetyltransferase : lactose permease,-,361109,361115,+,3348700,3348719,+,10,189774,23065972,0,3175,112.3,111.9,EG10524.EG10526.IGT_AS,G0-8871,arcZ::lacA.lacY.IGT_AS,102
bglX.osmF.IGR,arcZ,1103,3,479.8,374.3,0.00E+00,-9.0,IGR,sRNA,"predicted transporter subunit: periplasmic-binding component of ABC superfamily : beta-D-glucoside glucohydrolase, periplasmic",-,2217370,2217685,-,3348687,3348720,+,281,188721,23065701,31,3175,83.5,111.9,EG12013.EG12012.IGR,G0-8871,arcZ::bglX.osmF.IGR,150
yagE,arcZ,373,3,264.0,264.0,0.00E+00,-4.7,CDS,sRNA,CP4-6 prophage; predicted lyase/synthase,-,281481,281747,+,3348692,3348719,+,172,189451,23065810,6,3175,170.0,111.9,G6140,G0-8871,arcZ::yagE,237
yghJ.EST3UTR,arcZ,69,2,419.4,168.3,1.34E-118,-3.9,3UTR,sRNA,predicted inner membrane lipoprotein,-,3112568,3112572,-,3348699,3348719,+,20,189755,23065962,3,3175,55.5,111.9,G7541.EST3UTR.17,G0-8871,arcZ::yghJ.3UTR,277
aspC.ycbL.IGR,arcZ,2712,3,537.5,163.3,0.00E+00,-9.9,IGR,sRNA,"predicted metal-binding enzyme : aspartate aminotransferase, PLP-dependent",-,983617,984013,-,3348684,3348720,+,622,187112,23065360,197,3175,31.7,111.9,EG10096.G6475.IGR,G0-8871,arcZ::aspC.ycbL.IGR,249
ylcI.ybcW.IGR,arcZ,82,2,415.3,158.9,9.02E-142,-9.7,IGR,sRNA,DLP12 prophage; predicted protein : hypothetical protein,-,579314,579384,-,3348688,3348719,+,24,189742,23065958,4,3175,49.6,111.9,G0-10585.G6314.IGR,G0-8871,arcZ::ylcI.ybcW.IGR,240
gadC.AS,arcZ,59,2,174.9,157.8,4.38E-89,-7.8,AS,sRNA,predicted glutamate:gamma-aminobutyric acid antiporter,-,1567202,1567387,+,3348699,3348720,+,41,189765,23065941,1,3175,187.1,111.9,G6786.AS,G0-8871,arcZ::gadC.AS,64
ytfQ.ytfR.IGT,arcZ,12732,3,141.8,141.8,0.00E+00,-15.6,IGT,sRNA,galactofuranose binding proteint: periplasmic-binding component of ABC superfamily : predicted sugar transporter subunit: ATP-binding component of ABC superfamily,-,4448604,4449087,+,3348636,3348722,+,11691,177092,23054291,168,3175,272.1,111.9,EG12517.EG12518.IGT,G0-8871,arcZ::ytfQ.ytfR.IGT,314
C0343.fnrS.IGR,arcZ,312,U,124.9,124.9,0.00E+00,-12.1,IGR,sRNA,- : -,-,1406971,1407302,-,3348684,3348720,+,304,189512,23065678,8,3175,144.1,111.9,G0-8900.G0-10677.IGR,G0-8871,C0343.fnrS.IGR::arcZ,3
acrR.AS,arcZ,76,3,149.0,123.7,6.74E-113,-2.9,AS,sRNA,DNA-binding transcriptional repressor,-,485244,485267,-,3348700,3348720,+,62,189748,23065920,2,3175,129.1,111.9,EG12116.AS,G0-8871,acrR.AS::arcZ,15
yqeC,arcZ,121,2,110.6,110.6,3.72E-172,-6.0,CDS,sRNA,conserved protein,-,3012806,3012878,-,3348686,3348719,+,133,189703,23065849,1,3175,475.3,111.9,G7495,G0-8871,arcZ::yqeC,311
hisM.AS,arcZ,14,U,294.9,106.4,6.10E-19,-5.4,AS,sRNA,histidine/lysine/arginine/ornithine transporter subunit,-,2423092,2423113,+,3348718,3348719,+,6,182544,23073242,0,1583,37.4,215.8,EG10007.AS,G0-8871,arcZ::hisM.AS,89
rlmI,arcZ,188,3,77.0,77.0,1.68E-248,-13.2,CDS,sRNA,"23S rRNA m(5)C1962 methyltransferase, SAM-dependent",-,1029064,1029192,-,3348684,3348720,+,297,189636,23065685,4,3175,226.9,111.9,G6501,G0-8871,arcZ::rlmI,183
nrdE,arcZ,15,U,151.9,74.0,3.68E-18,-7.8,CDS,sRNA,"ribonucleoside-diphosphate reductase 2, alpha subunit",-,2800511,2800628,+,3348699,3348719,+,12,189809,23065970,0,3175,50.5,111.9,EG20257,G0-8871,arcZ::nrdE,135
mutS.5UTR,arcZ,39,2,77.7,70.1,9.79E-48,-4.6,5UTR,sRNA,methyl-directed mismatch repair protein,-,2855046,2855084,+,3348699,3348719,+,61,189785,23065921,1,3175,187.1,111.9,EG10625.5UTR,G0-8871,arcZ::mutS,130
rcnB,arcZ,105,2,137.3,70.0,1.95E-155,-5.9,CDS,sRNA,-,-,2185101,2185197,+,3348690,3348720,+,93,189719,23065889,6,3175,61.8,111.9,G7139,G0-8871,arcZ::rcnB,175
folM.EST3UTR,arcZ,97,2,196.5,69.6,1.20E-152,-14.7,3UTR,sRNA,"dihydromonapterin reductase, NADPH-dependent; dihydrofolate reductase isozyme",-,1679739,1679821,+,3348685,3348720,+,60,189727,23065922,7,3175,42.0,111.9,G6862.EST3UTR.92,G0-8871,arcZ::folM.3UTR,58
opgD.EST5UTR,arcZ,77,2,60.0,60.0,1.97E-92,-1.9,5UTR,sRNA,osmoregulated periplasmic glucan (OPG) biosynthesis periplasmic protein,-,1494801,1494874,+,3348695,3348720,+,156,189747,23065826,3,3175,145.3,111.9,EG12859.EST5UTR.60,G0-8871,arcZ::opgD,144
fbp.EST3UTR,arcZ,24,1,53.2,53.2,2.19E-24,-7.4,3UTR,sRNA,"fructose-1,6-bisphosphatase I",-,4452501,4452555,-,3348702,3348719,+,57,182534,23073191,0,1583,151.6,215.8,EG10283.EST3UTR.100,G0-8871,arcZ::fbp.3UTR,50
hsdS,arcZ,19,1,47.1,47.1,2.36E-17,-12.4,CDS,sRNA,specificity determinant for hsdM and hsdR,-,4578318,4578352,-,3348690,3348719,+,49,189805,23065933,0,3175,127.3,111.9,EG10460,G0-8871,arcZ::hsdS,91
malG,arcZ,178,3,46.2,46.2,1.39E-203,-8.0,CDS,sRNA,maltose transporter subunit,-,4241407,4241495,-,3348683,3348722,+,469,189646,23065513,9,3175,134.5,111.9,EG10556,G0-8871,arcZ::malG,116
zupT.ribB.IGR,arcZ,12,U,68.9,42.3,1.25E-10,-3.8,IGR,sRNA,"zinc transporter : 3,4-dihydroxy-2-butanone-4-phosphate synthase",-,3181713,3181746,+,3348717,3348719,+,22,182546,23073226,0,1583,63.6,215.8,EG11167.EG10465.IGR,G0-8871,arcZ::zupT.ribB.IGR,316
yiaV.AS,arcZ,47,2,41.4,41.4,2.65E-48,-6.8,AS,sRNA,"membrane fusion protein (MFP) component of efflux pump, signal anchor",-,3751480,3751525,+,3348692,3348719,+,138,189777,23065844,0,3175,346.2,111.9,EG12290.AS,G0-8871,arcZ::yiaV.AS,284
aegA,arcZ,76,2,53.1,39.9,6.24E-88,-8.1,CDS,sRNA,fused predicted oxidoreductase: FeS binding subunit/NAD/FAD-binding subunit,-,2583330,2583544,-,3348695,3348719,+,174,189748,23065808,5,3175,93.6,111.9,EG12409,G0-8871,aegA::arcZ,17
ybfL,arcZ,20,U,39.5,39.5,2.56E-17,-3.8,CDS,sRNA,-,-,736961,737007,+,3348701,3348719,+,64,182538,23073184,0,1583,157.2,215.8,G6377,G0-8871,arcZ::ybfL,243
ligA,arcZ,111,3,88.8,38.3,6.68E-150,-4.9,CDS,sRNA,"DNA ligase, NAD(+)-dependent",-,2527804,2527874,-,3348684,3348720,+,152,189713,23065830,10,3175,49.2,111.9,EG10534,G0-8871,arcZ::ligA,105
pgpB.AS,arcZ,44,2,334.2,36.2,8.42E-72,-4.3,AS,sRNA,phosphatidylglycerophosphatase B,-,1337570,1337679,-,3348692,3348719,+,16,189780,23065966,9,3175,12.5,111.9,EG10705.AS,G0-8871,arcZ::pgpB.AS,156
waaL.AS,arcZ,49,2,33.5,33.5,9.45E-47,-7.5,AS,sRNA,-,-,3795839,3795899,-,3348699,3348719,+,178,189775,23065804,2,3175,212.4,111.9,EG11424.AS,G0-8871,arcZ::waaL.AS,231
insI-2.ydbC.IGR,arcZ,45,3,33.3,33.3,1.80E-42,-5.1,IGR,sRNA,"- : predicted oxidoreductase, NAD(P)-binding",-,1469308,1469379,+,3348690,3348719,+,164,189779,23065818,2,3175,195.6,111.9,G6725.EG11309.IGR,G0-8871,arcZ::insI-2.ydbC.IGR,97
ylaC.maa.IGR,arcZ,11,U,33.9,31.8,1.53E-06,-3.9,IGR,sRNA,"inner membrane protein, DUF1449 family : maltose O-acetyltransferase",-,478418,478674,+,3348715,3348718,+,41,182547,23073207,0,1583,97.3,215.8,G6253.G58.IGR,G0-8871,arcZ::ylaC.maa.IGR,296
potE,arcZ,31,1,44.9,31.0,4.95E-31,-7.0,CDS,sRNA,putrescine/proton symporter: putrescine/ornithine antiporter,-,716204,716377,-,3348700,3348719,+,84,189793,23065898,2,3175,107.6,111.9,EG10753,G0-8871,arcZ::potE,160
nfrA,arcZ,27,2,67.0,30.6,3.92E-30,-7.8,CDS,sRNA,"bacteriophage N4 receptor, outer membrane subunit",-,587935,587997,-,3348684,3348719,+,49,189797,23065933,2,3175,71.1,111.9,EG11740,G0-8871,arcZ::nfrA,133
napF,arcZ,261,3,29.2,29.2,1.16E-256,-14.1,CDS,sRNA,"ferredoxin-type protein, role in electron transfer to periplasmic nitrate reductase NapA",-,2301206,2301390,-,3348688,3348720,+,1089,189563,23064893,8,3175,315.8,111.9,EG12068,G0-8871,arcZ::napF,132
entD,arcZ,10,U,28.1,27.9,9.19E-05,-7.5,CDS,sRNA,phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex,-,608705,609005,-,3348718,3348719,+,45,182548,23073203,0,1583,102.9,215.8,EG10262,G0-8871,arcZ::entD,49
ymbA,arcZ,65,2,26.4,26.4,2.19E-58,-5.6,CDS,sRNA,conserved protein,-,1014403,1014488,+,3348699,3348719,+,299,189759,23065683,2,3175,340.6,111.9,G6492,G0-8871,arcZ::ymbA,297
yphC,arcZ,23,2,62.1,25.4,2.57E-24,-7.2,CDS,sRNA,"predicted oxidoreductase, Zn-dependent and NAD(P)-binding",-,2673723,2673797,-,3348692,3348719,+,45,189801,23065937,2,3175,63.6,111.9,G7339,G0-8871,arcZ::yphC,307
rbsD,arcZ,5939,3,66.3,24.3,0.00E+00,-18.2,CDS,sRNA,predicted cytoplasmic sugar-binding protein,-,3931332,3931776,+,3348635,3348720,+,11236,183885,23054746,845,3175,38.0,111.9,EG10817,G0-8871,arcZ::rbsD,172
lysR,arcZ,35,2,29.1,23.8,3.73E-30,-4.7,CDS,sRNA,DNA-binding transcriptional dual regulator,-,2977201,2977303,+,3348696,3348719,+,146,189789,23065836,3,3175,112.9,111.9,EG10551,G0-8871,arcZ::lysR,112
hypE,arcZ,387,3,22.4,22.4,0.00E+00,-8.2,CDS,sRNA,"carbamoyl dehydratase, hydrogenases 1,2,3 maturation protein",-,2851999,2852343,+,3348688,3348720,+,2104,189437,23063878,32,3175,145.7,111.9,EG10487,G0-8871,arcZ::hypE,95
ppsR.ppsA.IGR,arcZ,34,2,21.9,21.9,1.80E-25,-7.1,IGR,sRNA,phosphoenolpyruvate synthase : bifunctional regulatory protein: PEP synthase kinase and PEP synthase pyrophosphorylase,-,1785276,1785357,-,3348690,3348720,+,189,189790,23065793,1,3175,417.3,111.9,EG11132.EG10759.IGR,G0-8871,arcZ::ppsR.ppsA.IGR,162
tar,arcZ,203,3,24.9,21.5,1.36E-186,-17.6,CDS,sRNA,methyl-accepting chemotaxis protein II,-,1970206,1970390,-,3348684,3348720,+,991,189621,23064991,24,3175,93.1,111.9,EG10988,G0-8871,arcZ::tar,211
rhaD.rhaA.IGT_AS,arcZ,24,1,303.4,20.7,1.78E-36,-4.6,AS,sRNA,rhamnulose-1-phosphate aldolase : L-rhamnose isomerase,-,4092260,4092336,+,3348702,3348719,+,10,182534,23073238,8,1583,8.0,215.8,EG11866.EG11867.IGT_AS,G0-8871,arcZ::rhaD.rhaA.IGT_AS,181
cspF.ydfT.IGR,arcZ,118,2,28.2,19.4,3.51E-112,-4.1,IGR,sRNA,Qin prophage; cold shock protein : -,-,1640202,1640298,+,3348701,3348720,+,529,182440,23072719,16,1583,75.7,215.8,EG12205.G6830.IGR,G0-8871,arcZ::cspF.ydfT.IGR,36
mqsR,arcZ,1017,2,29.6,18.9,0.00E+00,-12.9,CDS,sRNA,GCU-specific mRNA interferase toxin of the MqsR-MqsA toxin-antitoxin system and biofilm/motility regulator,-,3166157,3166586,-,3348684,3348720,+,4199,188807,23061783,146,3175,66.9,111.9,G7572,G0-8871,arcZ::mqsR,125
uup,arcZ,92,2,23.5,17.2,6.44E-80,-10.5,CDS,sRNA,fused predicted transporter subunits of ABC superfamily: ATP-binding components,-,1009829,1009984,+,3348687,3348720,+,476,189732,23065506,13,3175,81.8,111.9,G6489,G0-8871,arcZ::uup,228
yhcF,arcZ,14,U,16.5,16.5,5.95E-06,-5.5,CDS,sRNA,predicted transcriptional regulator,-,3365312,3365539,+,3348700,3348719,+,103,189810,23065879,0,3175,219.0,111.9,G7673,G0-8871,arcZ::yhcF,281
gltP,arcZ,25,1,24.1,16.4,2.64E-18,-1.0,CDS,sRNA,glutamate/aspartate:proton symporter,-,4292501,4292553,+,3348688,3348718,+,126,189799,23065856,3,3175,94.2,111.9,EG10405,G0-8871,arcZ::gltP,73
yqeI,arcZ,10,U,16.0,16.0,1.25E-02,-4.1,CDS,sRNA,predicted transcriptional regulator,-,2987102,2987199,+,3348705,3348719,+,79,182548,23073169,0,1583,166.6,215.8,G7467,G0-8871,arcZ::yqeI,312
yecE.AS,arcZ,21,U,16.0,16.0,2.97E-11,-4.4,AS,sRNA,"conserved protein, UPF0759 family",-,1949605,1949789,-,3348697,3348719,+,160,189803,23065822,2,3175,169.4,111.9,EG12379.AS,G0-8871,arcZ::yecE.AS,263
hchA.5UTR,arcZ,1170,3,67.5,15.1,0.00E+00,-14.1,5UTR,sRNA,Hsp31 molecular chaperone,-,2033652,2034021,+,3348685,3348720,+,2119,188654,23063863,265,3175,23.2,111.9,G7055.5UTR,G0-8871,arcZ::hchA,85
pgi,arcZ,344,3,67.0,14.6,0.00E+00,-9.0,CDS,sRNA,glucosephosphate isomerase,-,4232521,4232945,+,3348684,3348720,+,625,189480,23065357,79,3175,23.0,111.9,EG10702,G0-8871,arcZ::pgi,155
ydhL,arcZ,63,2,27.2,14.5,9.60E-57,-5.7,CDS,sRNA,conserved protein,-,1723819,1723965,-,3348702,3348720,+,293,182495,23072955,11,1583,60.6,215.8,G6888,G0-8871,arcZ::ydhL,259
emrD.tisB.IGR,arcZ,37,2,14.4,14.4,2.64E-22,-7.7,IGR,sRNA,lexA-regulated toxic peptide involved in persister formation; membrane peptide that decreases proton motive force and ATP levels : multidrug efflux system protein,-,3851663,3851921,-,3348701,3348720,+,325,182521,23072923,0,1583,677.4,215.8,EG11693.G0-9962.IGR,G0-8871,arcZ::emrD.tisB.IGR,215
ibpA,arcZ,56,2,49.3,14.4,4.97E-62,-5.4,CDS,sRNA,heat shock chaperone,-,3865203,3865295,-,3348700,3348719,+,138,189768,23065844,11,3175,33.0,111.9,EG11534,G0-8871,arcZ::ibpA,96
